Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,81.22,81.05,81.31,80.46,2.17M,-0.14%,2023
2023-12-28,81.33,80.46,81.4,80.35,2.16M,0.64%,2023
2023-12-27,80.81,80.71,80.87,80.23,2.61M,0.10%,2023
2023-12-26,80.73,80.5,81.07,80.36,1.75M,0.44%,2023
2023-12-22,80.38,80.57,81.42,80.34,2.77M,0.42%,2023
2023-12-21,80.04,80.63,80.82,79.45,4.09M,-0.35%,2023
2023-12-20,80.32,82.05,82.49,80.29,3.40M,-2.20%,2023
2023-12-19,82.13,82.07,82.31,81.58,2.35M,0.49%,2023
2023-12-18,81.73,82.24,82.92,81.5,3.33M,-0.61%,2023
2023-12-15,82.23,82.51,83.58,81.9,10.93M,-1.32%,2023
2023-12-14,83.33,83.92,84.68,83.17,6.94M,-0.29%,2023
2023-12-13,83.57,80.2,83.69,79.85,4.08M,4.46%,2023
2023-12-12,80.0,80.6,80.66,79.6,3.10M,-0.61%,2023
2023-12-11,80.49,79.82,80.76,79.51,3.71M,1.07%,2023
2023-12-08,79.64,80.12,80.44,79.23,2.71M,-0.70%,2023
2023-12-07,80.2,80.5,81.0,79.83,2.82M,-0.20%,2023
2023-12-06,80.36,79.96,80.48,79.57,2.93M,1.32%,2023
2023-12-05,79.31,80.21,80.35,79.01,2.91M,-1.02%,2023
2023-12-04,80.13,79.96,80.97,79.67,3.45M,-0.47%,2023
2023-12-01,80.51,79.83,80.77,79.33,2.79M,1.21%,2023
2023-11-30,79.55,79.27,79.64,78.76,3.76M,0.42%,2023
2023-11-29,79.21,80.06,80.28,79.01,2.99M,-0.65%,2023
2023-11-28,79.73,78.5,80.21,78.18,3.41M,1.52%,2023
2023-11-27,78.54,78.61,78.84,77.74,2.68M,0.05%,2023
2023-11-24,78.5,78.45,78.5,77.83,1.14M,0.32%,2023
2023-11-22,78.25,78.0,78.28,77.47,2.50M,0.27%,2023
2023-11-21,78.04,77.48,78.17,76.76,3.61M,1.10%,2023
2023-11-20,77.19,77.0,77.46,75.93,3.50M,-0.26%,2023
2023-11-17,77.39,77.72,77.91,76.87,3.51M,0.01%,2023
2023-11-16,77.38,77.48,78.08,76.9,4.38M,1.11%,2023
2023-11-15,76.53,77.28,78.44,76.44,3.40M,-1.14%,2023
2023-11-14,77.41,76.75,77.99,76.62,3.84M,3.19%,2023
2023-11-13,75.02,77.29,77.59,74.97,4.55M,-3.45%,2023
2023-11-10,77.7,77.78,78.12,77.13,3.48M,0.57%,2023
2023-11-09,77.26,77.63,78.37,77.04,2.99M,-1.14%,2023
2023-11-08,78.15,78.46,78.62,77.22,3.01M,-0.89%,2023
2023-11-07,78.85,79.19,79.71,78.68,3.79M,-0.50%,2023
2023-11-06,79.25,79.77,80.13,78.83,3.37M,-0.59%,2023
2023-11-03,79.72,80.19,81.08,79.6,4.15M,0.61%,2023
2023-11-02,79.24,76.2,80.2,76.2,5.57M,3.61%,2023
2023-11-01,76.48,75.69,76.96,74.73,4.07M,1.24%,2023
2023-10-31,75.54,75.71,75.85,74.93,4.10M,0.17%,2023
2023-10-30,75.41,75.13,75.97,74.37,3.67M,0.64%,2023
2023-10-27,74.93,75.5,76.0,74.67,2.88M,-1.11%,2023
2023-10-26,75.77,75.53,76.62,75.38,3.26M,0.54%,2023
2023-10-25,75.36,74.62,75.62,74.38,4.91M,0.83%,2023
2023-10-24,74.74,73.84,74.95,73.75,3.07M,1.90%,2023
2023-10-23,73.35,72.64,74.3,72.01,3.84M,0.00%,2023
2023-10-20,73.35,74.37,75.16,73.28,3.27M,-1.44%,2023
2023-10-19,74.42,74.99,75.59,74.29,2.77M,-1.00%,2023
2023-10-18,75.17,75.6,76.17,74.6,2.85M,-0.66%,2023
2023-10-17,75.67,75.6,76.41,75.16,2.24M,-0.51%,2023
2023-10-16,76.06,74.83,76.76,74.37,4.91M,2.14%,2023
2023-10-13,74.47,73.95,74.79,73.57,2.81M,1.35%,2023
2023-10-12,73.48,74.77,74.85,72.7,3.80M,-2.39%,2023
2023-10-11,75.28,74.87,75.43,74.14,2.39M,1.41%,2023
2023-10-10,74.23,73.66,74.29,73.44,5.05M,0.77%,2023
2023-10-09,73.66,72.5,73.69,72.14,3.39M,2.04%,2023
2023-10-06,72.19,70.51,72.29,69.38,4.58M,1.21%,2023
2023-10-05,71.33,73.07,73.16,70.23,8.10M,-2.67%,2023
2023-10-04,73.29,72.88,73.54,71.95,4.03M,0.66%,2023
2023-10-03,72.81,71.03,73.09,69.88,5.81M,1.35%,2023
2023-10-02,71.84,74.64,74.96,71.04,6.35M,-4.49%,2023
2023-09-29,75.22,75.24,75.89,74.43,3.42M,0.74%,2023
2023-09-28,74.67,76.2,76.37,74.23,3.16M,-1.57%,2023
2023-09-27,75.86,76.34,76.52,74.88,3.45M,-0.63%,2023
2023-09-26,76.34,78.54,78.54,76.21,2.91M,-2.97%,2023
2023-09-25,78.68,78.84,79.08,77.88,2.23M,-0.62%,2023
2023-09-22,79.17,79.46,79.8,79.04,2.52M,-0.89%,2023
2023-09-21,79.88,80.39,80.92,79.61,3.16M,-0.71%,2023
2023-09-20,80.45,80.54,81.37,79.92,2.07M,0.49%,2023
2023-09-19,80.06,80.27,80.63,79.86,2.24M,-0.21%,2023
2023-09-18,80.23,80.28,80.56,79.48,1.65M,0.24%,2023
2023-09-15,80.04,80.68,81.0,79.98,4.60M,-0.69%,2023
2023-09-14,80.6,79.78,80.69,79.73,2.78M,1.60%,2023
2023-09-13,79.33,78.01,79.65,77.99,2.94M,1.94%,2023
2023-09-12,77.82,77.73,78.0,77.24,2.68M,0.03%,2023
2023-09-11,77.8,77.79,78.54,77.72,2.54M,0.08%,2023
2023-09-08,77.74,77.4,77.86,77.17,2.16M,0.52%,2023
2023-09-07,77.34,77.03,77.93,76.79,2.90M,1.26%,2023
2023-09-06,76.38,75.87,76.58,75.76,2.75M,0.50%,2023
2023-09-05,76.0,77.35,77.41,75.47,2.97M,-1.96%,2023
2023-09-01,77.52,78.86,79.04,77.01,2.55M,-1.12%,2023
2023-08-31,78.4,79.68,79.83,78.3,3.10M,-1.31%,2023
2023-08-30,79.44,79.51,79.84,79.05,1.85M,-0.24%,2023
2023-08-29,79.63,79.35,80.03,79.1,1.97M,0.54%,2023
2023-08-28,79.2,79.69,79.96,78.94,1.61M,-0.16%,2023
2023-08-25,79.33,79.0,79.81,78.85,1.88M,0.63%,2023
2023-08-24,78.83,79.36,80.47,78.79,2.79M,-0.76%,2023
2023-08-23,79.43,79.01,79.47,78.71,3.05M,1.03%,2023
2023-08-22,78.62,78.43,78.92,78.2,2.56M,0.08%,2023
2023-08-21,78.56,79.0,79.17,77.8,2.57M,-0.58%,2023
2023-08-18,79.02,78.7,79.26,78.44,3.16M,0.30%,2023
2023-08-17,78.78,79.37,80.0,78.76,2.79M,-0.52%,2023
2023-08-16,79.19,79.31,79.9,78.93,3.29M,0.11%,2023
2023-08-15,79.1,79.5,79.64,78.87,3.41M,-1.13%,2023
