Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,34.18,34.22,34.3,34.01,5.07M,-0.06,2023
2023-12-28,34.2,34.36,34.43,34.1,2.93M,-0.84,2023
2023-12-27,34.49,34.72,34.92,34.44,2.96M,-0.83,2023
2023-12-26,34.78,34.53,34.88,34.45,2.87M,1.93,2023
2023-12-22,34.12,34.39,34.4,34.0,6.37M,0.24,2023
2023-12-21,34.04,34.03,34.12,33.72,5.29M,0.03,2023
2023-12-20,34.03,34.14,34.68,33.97,4.77M,-0.12,2023
2023-12-19,34.07,34.24,34.43,33.9,6.66M,0.0,2023
2023-12-18,34.07,34.35,34.85,33.94,5.72M,1.46,2023
2023-12-15,33.58,33.48,33.6,32.9,19.89M,0.12,2023
2023-12-14,33.54,32.99,33.8,32.94,7.77M,2.88,2023
2023-12-13,32.6,32.34,32.78,32.13,7.66M,0.93,2023
2023-12-12,32.3,32.2,32.36,31.83,5.85M,-0.65,2023
2023-12-11,32.51,32.48,32.96,32.45,6.02M,0.84,2023
2023-12-08,32.24,31.86,32.28,31.75,8.44M,1.61,2023
2023-12-07,31.73,32.17,32.25,31.42,8.73M,-0.41,2023
2023-12-06,31.86,32.65,32.82,31.66,7.47M,-2.87,2023
2023-12-05,32.8,33.66,33.68,32.69,5.63M,-2.81,2023
2023-12-04,33.75,33.53,33.81,33.12,6.72M,-0.12,2023
2023-12-01,33.79,33.67,34.4,33.46,5.96M,0.12,2023
2023-11-30,33.75,33.59,34.19,33.1,9.30M,1.23,2023
2023-11-29,33.34,33.88,33.97,33.13,5.60M,-1.42,2023
2023-11-28,33.82,34.0,34.21,33.61,5.72M,-0.44,2023
2023-11-27,33.97,33.85,34.05,33.49,4.43M,0.24,2023
2023-11-24,33.89,33.59,34.16,33.59,2.41M,0.92,2023
2023-11-22,33.58,33.25,33.62,32.79,6.07M,-0.97,2023
2023-11-21,33.91,33.8,34.04,33.68,7.75M,0.12,2023
2023-11-20,33.87,33.8,34.07,33.73,7.45M,0.47,2023
2023-11-17,33.71,33.68,33.96,33.49,7.98M,1.41,2023
2023-11-16,33.24,34.37,34.62,32.76,7.52M,-4.1,2023
2023-11-15,34.66,34.52,35.19,34.47,8.08M,-0.12,2023
2023-11-14,34.7,34.69,34.85,34.4,12.07M,0.67,2023
2023-11-13,34.47,34.33,34.62,34.22,7.52M,0.38,2023
2023-11-10,34.34,34.42,34.5,34.11,10.03M,1.24,2023
2023-11-09,33.92,33.96,34.16,33.76,7.24M,0.53,2023
2023-11-08,33.74,33.64,34.19,33.57,10.74M,-0.35,2023
2023-11-07,33.86,34.43,34.58,33.81,9.76M,-3.09,2023
2023-11-06,34.94,35.35,35.65,34.79,4.19M,-0.71,2023
2023-11-03,35.19,35.53,35.54,34.94,5.52M,-0.9,2023
2023-11-02,35.51,35.0,35.71,34.97,10.11M,1.92,2023
2023-11-01,34.84,34.49,35.26,34.27,9.18M,1.22,2023
2023-10-31,34.42,35.02,35.1,34.15,6.80M,-1.54,2023
2023-10-30,34.96,35.05,35.47,34.7,8.11M,0.43,2023
2023-10-27,34.81,35.18,35.38,34.72,6.11M,-0.6,2023
2023-10-26,35.02,34.38,35.6,34.23,9.54M,2.94,2023
2023-10-25,34.02,34.39,34.71,33.96,7.63M,-1.33,2023
2023-10-24,34.48,34.78,35.02,34.38,6.89M,-0.55,2023
2023-10-23,34.67,34.65,35.0,34.4,6.11M,-0.49,2023
2023-10-20,34.84,35.45,35.56,34.44,5.26M,-2.08,2023
2023-10-19,35.58,35.58,36.13,35.19,4.23M,-0.39,2023
2023-10-18,35.72,35.79,36.01,35.48,5.06M,0.31,2023
2023-10-17,35.61,35.02,35.79,34.99,4.62M,1.25,2023
2023-10-16,35.17,35.1,35.36,34.79,5.75M,0.92,2023
2023-10-13,34.85,35.36,35.4,34.78,6.61M,0.23,2023
2023-10-12,34.77,35.3,35.3,34.44,3.98M,-0.37,2023
2023-10-11,34.9,34.57,34.92,34.28,3.85M,0.0,2023
2023-10-10,34.9,34.76,35.15,34.64,6.26M,0.29,2023
2023-10-09,34.8,34.84,34.98,34.46,6.51M,3.17,2023
2023-10-06,33.73,33.37,33.97,33.03,6.26M,1.14,2023
2023-10-05,33.35,32.88,33.47,32.79,6.90M,0.63,2023
2023-10-04,33.14,34.04,34.11,33.03,7.84M,-4.03,2023
2023-10-03,34.53,34.32,34.83,34.28,5.84M,-0.09,2023
2023-10-02,34.56,35.2,35.35,34.09,6.95M,-2.15,2023
2023-09-29,35.32,36.54,36.6,35.17,8.09M,-3.47,2023
2023-09-28,36.59,36.25,36.85,36.2,5.88M,0.94,2023
2023-09-27,36.25,36.16,36.44,35.79,6.93M,1.51,2023
2023-09-26,35.71,35.67,36.04,35.62,6.45M,-0.53,2023
2023-09-25,35.9,35.33,36.04,35.31,5.35M,1.41,2023
2023-09-22,35.4,35.16,35.62,35.16,5.01M,0.97,2023
2023-09-21,35.06,35.9,36.01,35.05,7.11M,-2.07,2023
2023-09-20,35.8,36.1,36.54,35.79,6.24M,-1.05,2023
2023-09-19,36.18,36.66,36.87,35.89,7.43M,-0.77,2023
2023-09-18,36.46,36.42,36.64,36.12,7.91M,0.83,2023
2023-09-15,36.16,36.5,36.62,35.97,12.21M,-1.42,2023
2023-09-14,36.68,36.75,36.85,36.52,6.57M,1.21,2023
2023-09-13,36.24,37.1,37.13,36.1,7.17M,-2.32,2023
2023-09-12,37.1,37.01,37.25,36.73,8.94M,0.98,2023
2023-09-11,36.74,37.34,37.55,36.48,6.66M,-0.57,2023
2023-09-08,36.95,37.39,37.51,36.88,8.09M,-0.67,2023
2023-09-07,37.2,37.16,37.45,37.06,8.07M,-0.05,2023
2023-09-06,37.22,37.0,37.31,36.82,7.78M,0.4,2023
2023-09-05,37.07,37.24,37.58,37.0,9.23M,0.71,2023
2023-09-01,36.81,36.56,37.23,36.55,8.39M,1.71,2023
2023-08-31,36.19,36.23,36.33,35.79,10.01M,0.39,2023
2023-08-30,36.05,36.23,36.42,35.97,6.90M,-0.14,2023
2023-08-29,36.1,36.0,36.22,35.73,5.79M,0.28,2023
2023-08-28,36.0,35.4,36.24,35.4,4.51M,1.72,2023
2023-08-25,35.39,35.59,35.6,35.07,3.45M,0.45,2023
2023-08-24,35.23,35.19,35.81,35.18,4.94M,-0.65,2023
2023-08-23,35.46,34.86,35.62,34.61,4.29M,0.8,2023
2023-08-22,35.18,35.04,35.28,35.01,4.07M,0.37,2023
2023-08-21,35.05,35.35,35.49,34.73,3.91M,-0.6,2023
2023-08-18,35.26,34.6,35.36,34.53,4.14M,1.12,2023
2023-08-17,34.87,35.51,35.62,34.85,5.20M,-0.29,2023
2023-08-16,34.97,35.17,35.62,34.95,5.07M,-0.4,2023
2023-08-15,35.11,35.14,35.32,34.76,4.53M,-0.62,2023
2023-08-14,35.33,35.4,35.42,35.15,4.88M,-0.42,2023
2023-08-11,35.48,35.2,35.66,35.15,5.14M,0.42,2023
2023-08-10,35.33,36.09,36.32,35.03,6.22M,-2.16,2023
2023-08-09,36.11,36.0,36.48,35.69,5.59M,1.29,2023
2023-08-08,35.65,34.74,35.69,34.67,4.90M,0.17,2023
2023-08-07,35.59,35.48,35.72,35.34,5.23M,0.2,2023
2023-08-04,35.52,35.76,35.92,35.44,5.64M,-0.36,2023
2023-08-03,35.65,35.6,36.17,35.45,5.12M,0.25,2023
2023-08-02,35.56,35.52,35.62,35.02,5.75M,-0.59,2023
2023-08-01,35.77,35.49,35.81,35.25,5.30M,-0.06,2023
2023-07-31,35.79,35.54,35.8,35.36,6.25M,1.04,2023
2023-07-28,35.42,34.94,35.46,34.94,5.80M,2.19,2023
2023-07-27,34.66,35.59,35.72,34.45,8.12M,-2.45,2023
2023-07-26,35.53,35.28,35.7,35.09,7.79M,-0.59,2023
2023-07-25,35.74,35.7,35.93,35.52,7.35M,-0.28,2023
2023-07-24,35.84,35.6,36.16,35.58,8.69M,1.16,2023
2023-07-21,35.43,34.84,35.57,34.42,23.64M,2.22,2023
2023-07-20,34.66,35.47,35.62,34.53,10.70M,-1.53,2023
2023-07-19,35.2,34.58,35.87,34.3,12.99M,0.46,2023
2023-07-18,35.04,34.51,35.29,34.47,11.00M,1.13,2023
2023-07-17,34.65,34.21,34.9,34.19,8.19M,0.87,2023
2023-07-14,34.35,34.4,34.53,34.12,5.21M,-0.95,2023
2023-07-13,34.68,34.39,34.92,34.26,6.83M,0.7,2023
2023-07-12,34.44,34.27,34.91,34.09,8.36M,1.2,2023
