Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,170.71,171.08,172.15,170.31,864.67K,-0.18%,2023
2023-12-28,171.02,171.49,172.42,170.6,714.88K,-0.20%,2023
2023-12-27,171.36,170.94,172.92,170.34,1.14M,0.02%,2023
2023-12-26,171.33,173.0,173.79,171.24,903.77K,-0.72%,2023
2023-12-22,172.58,172.48,174.36,171.93,731.37K,0.50%,2023
2023-12-21,171.72,171.39,171.8,169.31,1.32M,0.37%,2023
2023-12-20,171.08,173.07,175.49,170.91,1.24M,-1.33%,2023
2023-12-19,173.38,174.28,174.49,172.51,1.21M,-0.20%,2023
2023-12-18,173.72,172.46,176.85,171.82,1.37M,2.07%,2023
2023-12-15,170.2,171.07,172.11,169.56,1.93M,-0.78%,2023
2023-12-14,171.54,170.24,172.42,169.27,1.71M,0.85%,2023
2023-12-13,170.1,170.81,171.89,169.16,1.73M,-0.42%,2023
2023-12-12,170.82,171.13,172.93,170.07,1.10M,-1.22%,2023
2023-12-11,172.93,176.21,176.36,171.7,1.20M,-1.86%,2023
2023-12-08,176.21,172.78,176.33,172.78,1.36M,2.55%,2023
2023-12-07,171.83,172.9,174.92,171.44,1.49M,-0.53%,2023
2023-12-06,172.75,169.58,173.03,168.39,1.85M,1.58%,2023
2023-12-05,170.07,173.16,174.18,169.52,2.07M,-2.35%,2023
2023-12-04,174.17,178.85,179.75,173.21,2.76M,-4.10%,2023
2023-12-01,181.61,181.0,183.46,180.58,1.60M,-0.30%,2023
2023-11-30,182.15,180.13,183.24,179.0,2.90M,0.95%,2023
2023-11-29,180.44,179.81,181.61,178.82,1.84M,0.57%,2023
2023-11-28,179.41,179.07,180.77,178.14,1.69M,0.43%,2023
2023-11-27,178.64,177.52,179.36,176.14,1.24M,-0.32%,2023
2023-11-24,179.21,177.0,180.47,176.9,730.57K,0.80%,2023
2023-11-22,177.78,175.0,178.28,173.52,913.05K,0.99%,2023
2023-11-21,176.04,173.38,176.48,173.38,1.06M,1.34%,2023
2023-11-20,173.72,174.33,176.13,173.13,1.25M,0.13%,2023
2023-11-17,173.5,175.0,175.5,173.35,1.16M,-0.19%,2023
2023-11-16,173.83,171.39,173.83,170.21,1.24M,1.19%,2023
2023-11-15,171.79,171.58,173.81,171.51,1.41M,-0.25%,2023
2023-11-14,172.22,172.0,173.73,171.2,887.78K,0.76%,2023
2023-11-13,170.92,171.19,172.37,170.12,1.01M,-0.41%,2023
2023-11-10,171.62,170.04,171.69,169.4,1.10M,0.56%,2023
2023-11-09,170.67,171.15,173.45,170.28,1.31M,0.26%,2023
2023-11-08,170.22,168.86,171.49,168.23,1.28M,0.76%,2023
2023-11-07,168.94,168.01,171.26,167.52,1.65M,-1.24%,2023
2023-11-06,171.06,173.81,174.07,170.86,1.54M,-1.46%,2023
2023-11-03,173.59,177.89,179.04,173.2,1.75M,-1.88%,2023
2023-11-02,176.92,168.79,177.5,165.36,2.23M,4.92%,2023
2023-11-01,168.63,167.37,170.67,166.5,1.40M,1.33%,2023
2023-10-31,166.42,167.17,167.97,165.87,902.85K,-0.26%,2023
2023-10-30,166.85,167.99,169.27,165.18,900.59K,-0.01%,2023
2023-10-27,166.86,167.14,167.14,164.68,1.08M,-0.59%,2023
2023-10-26,167.85,166.57,168.74,164.55,1.03M,-0.06%,2023
2023-10-25,167.95,168.03,169.47,167.1,867.41K,-0.03%,2023
2023-10-24,168.0,169.47,170.44,167.4,1.17M,-0.76%,2023
2023-10-23,169.28,171.0,171.0,167.8,1.12M,-1.48%,2023
2023-10-20,171.83,174.72,175.86,171.46,1.69M,-2.11%,2023
2023-10-19,175.54,176.15,176.69,173.66,1.50M,-0.06%,2023
2023-10-18,175.64,174.24,175.79,172.53,1.54M,1.38%,2023
2023-10-17,173.25,173.15,176.09,173.0,1.93M,-0.41%,2023
2023-10-16,173.97,174.51,175.6,171.79,2.29M,-1.55%,2023
2023-10-13,176.71,175.5,177.55,174.3,2.08M,1.43%,2023
2023-10-12,174.22,173.46,174.45,171.25,1.65M,1.06%,2023
2023-10-11,172.39,170.79,172.52,169.2,1.48M,0.81%,2023
2023-10-10,171.0,168.95,173.21,168.76,2.06M,1.33%,2023
2023-10-09,168.76,167.27,169.18,166.95,1.80M,3.31%,2023
2023-10-06,163.35,161.49,165.42,159.8,1.50M,1.71%,2023
2023-10-05,160.6,157.03,161.48,157.03,1.34M,1.04%,2023
2023-10-04,158.95,162.79,162.97,156.1,1.73M,-2.25%,2023
2023-10-03,162.61,162.0,163.5,160.75,1.22M,0.05%,2023
2023-10-02,162.53,166.02,166.78,162.11,1.41M,-2.07%,2023
2023-09-29,165.96,169.08,169.21,164.55,2.06M,-1.76%,2023
2023-09-28,168.94,165.46,169.44,165.46,1.61M,2.10%,2023
2023-09-27,165.46,163.95,167.49,163.57,1.81M,2.13%,2023
2023-09-26,162.01,162.99,163.31,161.12,945.26K,-1.30%,2023
2023-09-25,164.14,159.68,164.26,159.68,1.38M,2.64%,2023
2023-09-22,159.92,159.4,161.15,158.83,1.19M,0.67%,2023
2023-09-21,158.85,162.42,162.67,158.72,1.08M,-1.62%,2023
2023-09-20,161.47,160.87,163.36,160.87,1.03M,-0.09%,2023
2023-09-19,161.61,164.47,164.93,160.69,1.02M,-1.07%,2023
2023-09-18,163.35,163.66,164.53,162.16,1.00M,-0.07%,2023
2023-09-15,163.46,165.0,166.25,162.56,2.36M,-1.27%,2023
2023-09-14,165.56,164.94,167.07,164.32,1.48M,1.75%,2023
2023-09-13,162.72,164.68,164.98,161.3,967.02K,-0.83%,2023
2023-09-12,164.09,162.05,164.4,161.51,936.09K,1.57%,2023
2023-09-11,161.55,164.18,164.18,160.95,935.15K,-0.69%,2023
2023-09-08,162.68,161.11,164.34,160.52,1.31M,1.76%,2023
2023-09-07,159.87,161.25,162.59,159.12,1.88M,-1.17%,2023
2023-09-06,161.76,166.94,166.94,161.21,1.77M,-2.66%,2023
2023-09-05,166.18,165.07,167.8,165.0,1.37M,-0.69%,2023
2023-09-01,167.34,165.26,167.74,165.01,1.45M,2.54%,2023
2023-08-31,163.2,166.0,166.0,163.2,1.87M,-1.08%,2023
2023-08-30,164.98,164.95,165.86,164.41,885.72K,0.78%,2023
2023-08-29,163.7,162.46,164.46,162.19,991.72K,0.71%,2023
2023-08-28,162.55,161.7,163.56,160.8,1.02M,0.84%,2023
2023-08-25,161.2,161.06,163.34,160.85,1.09M,0.14%,2023
2023-08-24,160.97,165.47,165.92,160.93,1.84M,-3.27%,2023
2023-08-23,166.41,166.0,166.55,163.52,1.22M,-0.28%,2023
