Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-28,155.33,157.48,157.69,155.27,1.17M,-1.75,2023
2023-12-27,158.09,159.0,159.74,157.38,911.84K,-0.57,2023
2023-12-26,159.0,157.62,159.99,157.62,1.04M,1.67,2023
2023-12-22,156.39,157.54,158.32,155.98,1.26M,0.08,2023
2023-12-21,156.26,156.45,156.72,154.57,1.29M,0.28,2023
2023-12-20,155.83,157.12,159.44,155.67,1.58M,-0.84,2023
2023-12-19,157.15,155.55,157.43,154.88,1.58M,0.98,2023
2023-12-18,155.63,156.52,157.85,155.63,1.88M,1.65,2023
2023-12-15,153.11,152.67,154.0,150.87,4.06M,-0.22,2023
2023-12-14,153.44,151.05,154.14,150.88,2.55M,2.66,2023
2023-12-13,149.46,148.09,149.75,147.36,1.84M,1.07,2023
2023-12-12,147.88,148.27,148.93,146.82,2.40M,-1.11,2023
2023-12-11,149.54,148.48,150.25,148.32,1.99M,0.54,2023
2023-12-08,148.73,148.24,150.41,148.0,1.60M,0.77,2023
2023-12-07,147.59,147.93,148.72,146.52,2.25M,0.76,2023
2023-12-06,146.48,148.74,149.1,145.7,3.30M,-2.44,2023
2023-12-05,150.15,154.21,154.49,150.05,1.84M,-2.41,2023
2023-12-04,153.86,152.72,154.1,152.11,1.37M,-0.27,2023
2023-12-01,154.27,154.3,156.77,153.66,1.35M,-0.09,2023
2023-11-30,154.41,155.16,157.48,151.13,2.41M,0.4,2023
2023-11-29,153.79,154.44,154.89,153.02,1.03M,-0.13,2023
2023-11-28,153.99,154.41,155.72,153.54,1.07M,-0.02,2023
2023-11-27,154.02,153.79,154.38,152.56,1.23M,-0.39,2023
2023-11-24,154.63,154.49,156.26,154.43,549.78K,0.3,2023
2023-11-22,154.16,150.98,154.63,149.99,1.36M,-0.6,2023
2023-11-21,155.09,155.24,155.6,153.57,1.13M,-0.68,2023
2023-11-20,156.15,157.03,158.23,155.61,1.42M,0.0,2023
2023-11-17,156.15,154.03,157.45,153.5,2.18M,2.39,2023
2023-11-16,152.5,154.79,154.96,148.67,3.10M,-2.11,2023
