Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,47.0,46.74,47.1,46.63,3.64M,-0.13,2023
2023-12-28,47.06,46.38,47.22,46.18,3.46M,1.18,2023
2023-12-27,46.51,46.95,47.03,46.3,4.23M,-1.15,2023
2023-12-26,47.05,46.79,47.26,46.63,3.37M,0.53,2023
2023-12-22,46.8,47.07,47.77,46.76,4.62M,0.11,2023
2023-12-21,46.75,47.31,47.4,46.34,4.83M,-0.91,2023
2023-12-20,47.18,48.14,48.27,47.16,7.00M,-1.73,2023
2023-12-19,48.01,48.28,48.63,47.95,5.15M,-0.35,2023
2023-12-18,48.18,48.72,48.97,48.09,7.53M,-0.62,2023
2023-12-15,48.48,48.79,49.38,48.06,8.03M,-1.38,2023
2023-12-14,49.16,50.04,50.7,48.98,6.68M,-0.63,2023
2023-12-13,49.47,47.56,49.55,47.16,5.54M,3.82,2023
2023-12-12,47.65,47.68,47.68,47.06,6.74M,0.0,2023
2023-12-11,47.65,47.31,47.81,47.15,6.81M,0.34,2023
2023-12-08,47.49,47.37,47.6,47.18,6.51M,0.53,2023
2023-12-07,47.24,47.49,47.58,46.96,5.64M,-0.04,2023
2023-12-06,47.26,46.6,47.59,46.51,7.73M,2.03,2023
2023-12-05,46.32,46.21,46.48,45.35,7.37M,0.41,2023
2023-12-04,46.13,46.09,46.65,45.7,6.34M,-1.16,2023
2023-12-01,46.67,45.44,46.73,45.37,5.66M,2.93,2023
2023-11-30,45.34,46.08,46.25,45.21,8.81M,-2.97,2023
2023-11-29,46.73,46.91,47.31,46.61,4.86M,-0.57,2023
2023-11-28,47.0,46.83,47.4,46.63,3.58M,0.19,2023
2023-11-27,46.91,46.85,47.11,46.43,4.42M,-0.11,2023
2023-11-24,46.96,46.65,47.13,46.35,1.65M,0.66,2023
2023-11-22,46.65,46.6,46.72,45.86,2.69M,0.5,2023
2023-11-21,46.42,46.52,46.7,46.1,4.01M,0.02,2023
2023-11-20,46.41,46.55,46.83,45.88,4.47M,-0.75,2023
2023-11-17,46.76,47.31,47.35,46.4,5.25M,-0.23,2023
2023-11-16,46.87,47.49,47.83,46.66,6.72M,-0.76,2023
2023-11-15,47.23,46.43,47.69,46.15,7.51M,1.59,2023
2023-11-14,46.49,45.64,46.66,45.57,6.29M,4.4,2023
2023-11-13,44.53,44.95,44.99,44.25,4.71M,-0.96,2023
2023-11-10,44.96,45.21,45.39,44.51,4.00M,0.2,2023
2023-11-09,44.87,45.94,46.28,44.6,6.29M,-2.33,2023
2023-11-08,45.94,45.33,46.01,45.0,12.28M,0.79,2023
2023-11-07,45.58,45.57,46.0,45.28,9.49M,-0.02,2023
2023-11-06,45.59,44.01,45.79,43.95,13.46M,4.54,2023
2023-11-03,43.61,42.59,44.04,41.15,14.83M,6.16,2023
2023-11-02,41.08,40.58,41.24,40.44,8.29M,2.14,2023
2023-11-01,40.22,40.31,40.53,39.44,5.95M,-0.25,2023
2023-10-31,40.32,40.14,40.36,39.54,9.00M,0.8,2023
2023-10-30,40.0,40.23,40.67,39.7,5.35M,-0.2,2023
2023-10-27,40.08,40.76,40.84,40.0,4.60M,-2.17,2023
2023-10-26,40.97,40.46,41.36,40.46,6.86M,1.06,2023
2023-10-25,40.54,40.11,40.63,39.6,6.75M,0.47,2023
2023-10-24,40.35,40.0,40.5,39.7,7.76M,2.07,2023
2023-10-23,39.53,39.43,40.19,39.18,6.40M,-1.22,2023
2023-10-20,40.02,40.6,41.03,40.01,5.45M,-1.53,2023
2023-10-19,40.64,40.5,41.31,40.19,6.50M,-0.29,2023
2023-10-18,40.76,41.78,41.98,40.66,7.99M,-2.74,2023
