Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,144.16,145.68,145.68,143.87,2.28M,-0.40%,2023
2023-12-28,144.74,147.2,148.5,144.22,3.43M,-2.58%,2023
2023-12-27,148.58,148.2,149.32,147.65,1.47M,-0.03%,2023
2023-12-26,148.63,148.3,149.6,147.84,2.16M,1.41%,2023
2023-12-22,146.56,147.69,148.15,146.43,1.37M,0.28%,2023
2023-12-21,146.15,146.11,146.54,144.67,2.10M,0.26%,2023
2023-12-20,145.77,147.21,148.88,145.77,2.27M,-0.89%,2023
2023-12-19,147.08,145.73,147.64,145.5,2.77M,0.93%,2023
2023-12-18,145.73,147.15,147.99,144.83,3.00M,0.77%,2023
2023-12-15,144.61,141.06,145.07,140.89,6.32M,1.06%,2023
2023-12-14,143.1,138.61,143.53,138.0,4.78M,4.66%,2023
2023-12-13,136.73,135.11,137.38,134.1,3.36M,1.43%,2023
2023-12-12,134.8,135.01,136.7,134.33,3.74M,-1.03%,2023
2023-12-11,136.2,134.08,136.96,134.08,3.20M,1.26%,2023
2023-12-08,134.5,133.32,135.25,131.61,5.52M,1.72%,2023
2023-12-07,132.23,136.88,137.65,131.87,7.49M,-2.97%,2023
2023-12-06,136.28,135.83,138.11,135.0,8.49M,-1.52%,2023
2023-12-05,138.39,141.57,141.72,138.38,3.79M,-2.33%,2023
2023-12-04,141.69,139.66,142.5,139.5,3.71M,0.44%,2023
2023-12-01,141.07,140.47,143.52,139.52,6.12M,0.36%,2023
2023-11-30,140.56,141.18,143.6,139.12,9.54M,0.72%,2023
2023-11-29,139.56,146.23,146.72,136.65,12.13M,-4.15%,2023
2023-11-28,145.6,144.32,146.77,144.28,2.23M,0.75%,2023
2023-11-27,144.51,144.66,145.12,143.07,2.16M,-0.62%,2023
2023-11-24,145.41,144.68,146.24,144.28,804.20K,0.70%,2023
2023-11-22,144.4,141.44,144.67,140.76,1.58M,0.06%,2023
2023-11-21,144.32,143.8,144.64,142.81,1.52M,-0.12%,2023
2023-11-20,144.5,144.93,145.85,144.48,2.84M,0.03%,2023
2023-11-17,144.45,143.0,145.29,142.22,2.42M,2.11%,2023
2023-11-16,141.46,142.45,143.41,140.6,3.68M,-1.88%,2023
2023-11-15,144.17,142.95,145.29,142.91,2.23M,0.29%,2023
2023-11-14,143.76,143.11,144.14,142.39,2.98M,0.76%,2023
2023-11-13,142.68,141.6,142.89,141.21,2.41M,0.77%,2023
2023-11-10,141.59,141.81,141.9,140.03,3.47M,0.99%,2023
2023-11-09,140.2,141.42,142.36,140.03,3.82M,-0.40%,2023
2023-11-08,140.77,142.15,143.18,140.64,3.71M,-1.53%,2023
2023-11-07,142.95,143.5,144.13,141.7,4.46M,-1.91%,2023
2023-11-06,145.74,147.79,148.17,145.58,1.81M,-0.36%,2023
2023-11-03,146.26,147.17,147.74,145.2,6.38M,-1.02%,2023
2023-11-02,147.76,141.99,148.15,141.67,3.76M,3.87%,2023
2023-11-01,142.25,144.71,145.15,142.14,6.60M,-1.49%,2023
2023-10-31,144.4,145.19,145.9,143.55,4.66M,-0.53%,2023
2023-10-30,145.17,144.02,145.42,143.37,6.85M,1.31%,2023
2023-10-27,143.29,150.79,150.99,142.76,8.66M,-6.46%,2023
2023-10-26,153.18,153.62,154.04,152.31,7.91M,-0.79%,2023
2023-10-25,154.4,155.16,155.68,154.11,6.29M,-0.53%,2023
2023-10-24,155.22,160.71,161.57,154.83,14.85M,-3.77%,2023
2023-10-23,161.3,163.4,166.5,160.48,11.09M,-1.06%,2023
2023-10-20,163.02,165.13,166.18,161.27,2.21M,-1.84%,2023
2023-10-19,166.08,164.22,167.75,162.85,1.88M,0.67%,2023
2023-10-18,164.97,165.59,167.26,163.81,2.13M,0.58%,2023
2023-10-17,164.02,161.11,164.32,161.1,1.42M,1.62%,2023
2023-10-16,161.41,162.36,162.84,160.82,1.46M,0.27%,2023
2023-10-13,160.98,159.1,162.13,158.01,1.67M,2.96%,2023
2023-10-12,156.35,156.69,158.27,155.49,1.73M,0.88%,2023
2023-10-11,154.98,152.01,155.24,151.82,2.12M,0.87%,2023
2023-10-10,153.65,153.0,154.86,152.1,1.15M,0.18%,2023
2023-10-09,153.38,150.15,154.2,149.27,1.72M,5.31%,2023
2023-10-06,145.65,142.78,147.46,141.75,1.75M,2.61%,2023
2023-10-05,141.94,142.06,144.7,141.7,1.69M,-0.92%,2023
2023-10-04,143.26,147.01,147.25,141.64,2.87M,-4.17%,2023
2023-10-03,149.5,148.28,149.74,147.81,1.68M,0.25%,2023
2023-10-02,149.12,153.07,153.58,147.96,1.53M,-2.54%,2023
2023-09-29,153.0,156.47,157.19,152.0,1.87M,-2.32%,2023
2023-09-28,156.64,157.46,158.55,155.6,2.48M,-0.89%,2023
2023-09-27,158.04,154.69,158.8,153.61,3.10M,3.95%,2023
2023-09-26,152.04,150.33,153.03,149.49,1.97M,0.07%,2023
2023-09-25,151.94,150.53,152.92,149.78,1.31M,1.21%,2023
2023-09-22,150.12,152.16,153.09,150.0,1.54M,-0.54%,2023
2023-09-21,150.93,156.83,156.94,150.68,1.80M,-3.42%,2023
2023-09-20,156.28,157.94,159.98,156.03,1.63M,-1.74%,2023
2023-09-19,159.04,164.58,164.68,158.18,1.60M,-2.19%,2023
2023-09-18,162.6,162.18,162.96,160.26,1.32M,1.40%,2023
2023-09-15,160.35,162.91,163.82,160.26,2.77M,-2.75%,2023
