Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,4769.83,"4,782.88","4,788.43","4,751.99",,-0.28,2023
2023-12-28,4783.35,"4,786.44","4,793.30","4,780.98",,0.04,2023
2023-12-27,4781.58,"4,773.45","4,785.39","4,768.90",,0.14,2023
2023-12-26,4774.75,"4,758.86","4,784.72","4,758.45",,0.42,2023
2023-12-22,4754.63,"4,753.92","4,772.94","4,736.77",,0.17,2023
2023-12-21,4746.75,"4,724.29","4,748.71","4,708.35",,1.03,2023
2023-12-20,4698.35,"4,764.73","4,778.01","4,697.82",,-1.47,2023
2023-12-19,4768.37,"4,743.72","4,768.69","4,743.72",,0.59,2023
2023-12-18,4740.56,"4,725.58","4,749.52","4,725.58",,0.45,2023
2023-12-15,4719.19,"4,714.23","4,725.53","4,704.69",,-0.01,2023
2023-12-14,4719.55,"4,721.04","4,738.57","4,694.34",,0.26,2023
2023-12-13,4707.09,"4,646.20","4,709.69","4,643.23",,1.37,2023
2023-12-12,4643.7,"4,618.30","4,643.93","4,608.09",,0.46,2023
2023-12-11,4622.44,"4,593.39","4,623.71","4,593.39",,0.39,2023
2023-12-08,4604.37,"4,576.20","4,609.23","4,574.06",,0.41,2023
2023-12-07,4585.59,"4,568.84","4,590.92","4,565.22",,0.8,2023
2023-12-06,4549.34,"4,586.23","4,590.74","4,546.50",,-0.39,2023
2023-12-05,4567.18,"4,557.25","4,578.56","4,551.68",,-0.06,2023
2023-12-04,4569.78,"4,564.37","4,572.37","4,546.72",,-0.54,2023
2023-12-01,4594.63,"4,559.43","4,599.39","4,554.71",,0.59,2023
2023-11-30,4567.8,"4,554.87","4,569.89","4,537.24",,0.38,2023
2023-11-29,4550.58,"4,571.84","4,587.64","4,547.15",,-0.09,2023
2023-11-28,4554.89,"4,545.55","4,568.14","4,540.51",,0.1,2023
2023-11-27,4550.43,"4,554.86","4,560.52","4,546.32",,-0.2,2023
2023-11-24,4559.34,"4,555.84","4,560.31","4,552.80",,0.06,2023
2023-11-22,4556.62,"4,553.04","4,568.43","4,545.05",,0.41,2023
2023-11-21,4538.19,"4,538.77","4,542.14","4,525.51",,-0.2,2023
2023-11-20,4547.38,"4,511.70","4,557.11","4,510.36",,0.74,2023
2023-11-17,4514.02,"4,509.55","4,520.12","4,499.66",,0.13,2023
2023-11-16,4508.24,"4,497.08","4,511.99","4,487.83",,0.12,2023
2023-11-15,4502.88,"4,505.30","4,521.17","4,495.31",,0.16,2023
2023-11-14,4495.7,"4,458.97","4,508.67","4,458.97",,1.91,2023
2023-11-13,4411.55,"4,406.66","4,421.76","4,393.82",,-0.08,2023
2023-11-10,4415.24,"4,364.15","4,418.03","4,353.34",,1.56,2023
2023-11-09,4347.35,"4,391.41","4,393.40","4,343.94",,-0.81,2023
2023-11-08,4382.78,"4,384.37","4,391.20","4,359.76",,0.1,2023
2023-11-07,4378.38,"4,366.21","4,386.26","4,355.41",,0.28,2023
2023-11-06,4365.98,"4,364.27","4,372.21","4,347.53",,0.18,2023
2023-11-03,4358.34,"4,334.23","4,373.62","4,334.23",,0.94,2023
2023-11-02,4317.78,"4,268.26","4,319.72","4,268.26",,1.89,2023
2023-11-01,4237.86,"4,201.27","4,245.64","4,197.74",,1.05,2023
2023-10-31,4193.8,"4,171.33","4,195.55","4,153.12",,0.65,2023
2023-10-30,4166.82,"4,139.39","4,177.47","4,132.94",,1.2,2023
2023-10-27,4117.37,"4,152.93","4,156.70","4,103.78",,-0.48,2023
2023-10-26,4137.23,"4,175.99","4,183.60","4,127.90",,-1.18,2023
2023-10-25,4186.77,"4,232.42","4,232.42","4,181.42",,-1.43,2023
2023-10-24,4247.68,"4,235.79","4,259.38","4,219.43",,0.73,2023
2023-10-23,4217.04,"4,210.40","4,255.84","4,189.22",,-0.17,2023
2023-10-20,4224.16,"4,273.85","4,276.56","4,223.03",,-1.26,2023
2023-10-19,4278.0,"4,321.36","4,339.54","4,269.69",,-0.85,2023
2023-10-18,4314.6,"4,357.35","4,364.20","4,303.84",,-1.34,2023
2023-10-17,4373.2,"4,345.23","4,393.57","4,337.54",,-0.01,2023
2023-10-16,4373.63,"4,342.37","4,383.33","4,342.37",,1.06,2023
