Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,36.72,36.46,36.77,36.42,1.10M,0.85,2023
2023-12-28,36.41,36.5,36.67,36.4,1.04M,-0.25,2023
2023-12-27,36.5,36.53,36.55,36.37,679.61K,-0.03,2023
2023-12-26,36.51,36.61,36.7,36.45,868.48K,-0.03,2023
2023-12-22,36.52,36.53,36.8,36.28,1.53M,0.3,2023
2023-12-21,36.41,36.44,36.65,36.27,1.28M,0.28,2023
2023-12-20,36.31,36.53,36.71,36.31,1.52M,-0.36,2023
2023-12-19,36.44,36.46,36.67,36.27,2.53M,0.33,2023
2023-12-18,36.32,36.47,36.73,36.3,2.19M,0.86,2023
2023-12-15,36.01,36.23,36.23,35.75,7.34M,-0.3,2023
2023-12-14,36.12,36.06,36.39,36.0,1.77M,0.84,2023
2023-12-13,35.82,35.73,35.97,35.51,2.24M,0.17,2023
2023-12-12,35.76,35.95,35.95,35.53,1.86M,-0.5,2023
2023-12-11,35.94,36.0,36.12,35.84,1.66M,-0.39,2023
2023-12-08,36.08,35.9,36.15,35.76,2.21M,0.59,2023
2023-12-07,35.87,35.98,36.06,35.64,1.91M,-0.33,2023
2023-12-06,35.99,36.27,36.33,35.88,1.73M,-1.02,2023
2023-12-05,36.36,36.66,36.68,36.31,1.53M,-0.82,2023
2023-12-04,36.66,36.5,36.69,36.44,1.15M,0.14,2023
2023-12-01,36.61,36.4,36.64,36.35,1.55M,0.41,2023
2023-11-30,36.46,36.3,36.51,36.15,3.06M,0.69,2023
2023-11-29,36.21,36.14,36.36,35.98,1.66M,0.3,2023
2023-11-28,36.1,36.21,36.23,36.0,1.40M,-0.14,2023
2023-11-27,36.15,36.02,36.24,35.99,1.47M,0.61,2023
2023-11-24,35.93,35.7,36.22,35.7,679.71K,0.42,2023
2023-11-22,35.78,35.6,35.83,35.56,1.05M,0.17,2023
2023-11-21,35.72,35.87,35.93,35.64,1.21M,-0.25,2023
2023-11-20,35.81,35.91,36.08,35.78,1.12M,-0.33,2023
2023-11-17,35.93,35.56,36.0,35.51,1.19M,1.3,2023
2023-11-16,35.47,35.6,35.73,35.31,1.91M,-0.08,2023
2023-11-15,35.5,35.7,35.96,35.47,1.36M,-0.56,2023
2023-11-14,35.7,35.47,35.72,35.19,2.33M,1.16,2023
2023-11-13,35.29,35.37,35.39,35.1,1.28M,0.37,2023
2023-11-10,35.16,35.46,35.51,35.07,2.23M,-0.37,2023
