Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,148.36,147.91,149.72,147.6,2.51M,1.01,2023
2023-12-28,146.88,149.01,149.5,146.87,2.37M,-2.0,2023
2023-12-27,149.88,151.48,151.92,149.55,1.71M,-1.45,2023
2023-12-26,152.08,151.82,153.14,150.67,1.53M,0.8,2023
2023-12-22,150.87,153.85,154.18,150.78,2.12M,-1.17,2023
2023-12-21,152.66,153.65,155.11,151.39,2.06M,-0.63,2023
2023-12-20,153.63,154.33,156.28,153.42,3.17M,-0.09,2023
2023-12-19,153.77,151.87,153.84,150.97,2.58M,1.29,2023
2023-12-18,151.81,150.93,153.07,150.38,3.31M,2.31,2023
2023-12-15,148.38,145.71,149.5,144.51,12.27M,-1.66,2023
2023-12-14,150.89,149.06,150.89,147.32,3.56M,2.88,2023
2023-12-13,146.66,143.21,146.8,142.57,3.46M,2.29,2023
2023-12-12,143.37,142.53,143.97,141.45,2.93M,-0.33,2023
2023-12-11,143.85,142.5,144.74,142.27,3.02M,0.58,2023
2023-12-08,143.02,142.61,144.15,142.07,3.09M,1.02,2023
2023-12-07,141.58,143.61,145.0,140.98,3.61M,-1.12,2023
2023-12-06,143.18,147.76,147.76,143.09,4.04M,-3.85,2023
2023-12-05,148.92,151.44,153.02,148.62,2.76M,-1.63,2023
2023-12-04,151.39,150.0,151.98,148.46,3.08M,-0.02,2023
2023-12-01,151.42,148.78,153.77,148.44,3.12M,1.49,2023
2023-11-30,149.19,148.42,151.63,147.26,5.97M,1.2,2023
2023-11-29,147.42,151.31,152.26,147.16,2.94M,-1.71,2023
2023-11-28,149.99,151.0,152.57,149.83,2.47M,-0.37,2023
2023-11-27,150.55,149.05,150.7,148.36,2.18M,0.7,2023
2023-11-24,149.5,149.79,151.51,149.36,1.26M,0.19,2023
2023-11-22,149.21,145.0,149.38,144.06,2.42M,1.07,2023
2023-11-21,147.63,147.91,148.21,146.1,1.93M,-0.91,2023
2023-11-20,148.99,148.91,150.63,148.54,2.39M,0.74,2023
2023-11-17,147.9,146.25,150.27,145.9,3.45M,1.93,2023
2023-11-16,145.1,148.88,150.49,143.88,3.49M,-3.48,2023
2023-11-15,150.33,149.73,152.8,149.3,3.23M,-0.23,2023
2023-11-14,150.67,147.3,151.1,147.3,2.99M,2.66,2023
2023-11-13,146.76,145.07,147.35,144.48,2.40M,1.12,2023
2023-11-10,145.13,143.4,145.42,142.54,2.38M,2.35,2023
2023-11-09,141.8,144.0,145.0,141.42,2.30M,-1.18,2023
2023-11-08,143.5,145.23,146.18,143.09,2.95M,-1.82,2023
2023-11-07,146.16,148.3,148.58,144.74,2.84M,-2.51,2023
2023-11-06,149.92,152.0,152.64,148.74,2.43M,-0.57,2023
2023-11-03,150.78,155.45,155.49,149.9,3.28M,-3.2,2023
2023-11-02,155.77,155.22,159.65,153.93,3.83M,0.36,2023
2023-11-01,155.21,152.43,157.64,151.25,4.02M,2.62,2023
2023-10-31,151.25,148.4,151.98,144.46,4.14M,2.99,2023
2023-10-30,146.86,146.88,148.53,144.51,2.95M,0.59,2023
2023-10-27,146.0,147.73,148.27,144.55,3.52M,-1.39,2023
2023-10-26,148.06,146.55,148.41,144.11,2.93M,0.48,2023
2023-10-25,147.35,149.14,150.29,147.15,2.48M,-0.86,2023
2023-10-24,148.63,149.7,151.39,148.35,1.76M,-0.55,2023
2023-10-23,149.45,150.77,150.98,147.89,2.42M,-0.93,2023
2023-10-20,150.86,152.68,153.77,150.81,2.48M,-1.3,2023
2023-10-19,152.84,153.93,154.33,152.14,1.91M,-0.75,2023
2023-10-18,153.99,151.42,154.33,151.35,2.22M,1.75,2023
2023-10-17,151.34,150.51,152.5,150.46,1.99M,0.39,2023
2023-10-16,150.75,149.42,151.71,149.03,2.41M,1.72,2023
2023-10-13,148.2,149.43,150.41,148.1,2.57M,0.41,2023
2023-10-12,147.59,149.35,149.66,146.26,2.77M,-0.63,2023
2023-10-11,148.52,147.66,149.35,146.47,2.83M,-0.26,2023
2023-10-10,148.91,145.62,149.43,145.62,2.95M,1.6,2023
2023-10-09,146.57,145.51,147.07,143.87,3.35M,2.37,2023
2023-10-06,143.18,142.85,145.54,141.7,3.37M,0.63,2023
2023-10-05,142.28,140.41,143.72,139.93,4.00M,0.27,2023
2023-10-04,141.89,144.85,144.94,139.32,5.78M,-3.65,2023
2023-10-03,147.27,148.37,149.42,144.24,3.73M,-1.83,2023
2023-10-02,150.02,151.06,151.6,148.4,3.99M,-0.87,2023
2023-09-29,151.34,154.21,154.63,150.07,3.33M,-2.0,2023
2023-09-28,154.43,151.89,156.18,151.86,2.99M,1.31,2023
2023-09-27,152.43,152.02,153.6,151.23,2.71M,0.93,2023
2023-09-26,151.02,152.88,152.99,150.32,3.00M,-2.06,2023
2023-09-25,154.2,152.66,154.74,152.24,2.12M,0.48,2023
2023-09-22,153.46,155.72,157.68,153.19,2.81M,-0.85,2023
2023-09-21,154.77,155.74,159.5,153.25,4.15M,1.38,2023
2023-09-20,152.67,151.91,154.68,151.72,2.54M,0.34,2023
2023-09-19,152.15,157.65,157.65,150.28,4.51M,-2.68,2023
2023-09-18,156.34,155.52,157.83,155.1,3.00M,1.64,2023
2023-09-15,153.81,154.23,155.81,153.04,11.64M,-1.52,2023
2023-09-14,156.19,157.15,157.72,155.89,3.53M,0.46,2023
2023-09-13,155.48,155.95,156.51,153.99,3.18M,-0.22,2023
2023-09-12,155.83,154.65,156.73,153.29,2.84M,1.14,2023
2023-09-11,154.07,155.94,157.99,152.98,3.80M,-0.8,2023
2023-09-08,155.31,152.4,156.87,151.81,4.43M,2.93,2023
2023-09-07,150.89,148.63,151.03,148.0,3.64M,2.03,2023
2023-09-06,147.89,146.65,148.6,146.02,2.59M,0.59,2023
2023-09-05,147.02,146.63,148.29,146.21,3.08M,0.73,2023
2023-09-01,145.96,145.1,146.91,144.7,3.03M,2.23,2023
2023-08-31,142.77,143.55,143.75,139.82,5.11M,-0.26,2023
2023-08-30,143.14,143.84,143.97,142.85,2.54M,-0.09,2023
2023-08-29,143.27,142.88,143.46,141.66,2.67M,0.17,2023
2023-08-28,143.03,144.22,145.27,142.21,2.52M,-0.66,2023
2023-08-25,143.98,144.26,145.68,142.29,4.48M,0.26,2023
2023-08-24,143.6,142.85,144.75,142.04,2.89M,0.24,2023
2023-08-23,143.25,141.85,143.43,139.68,3.65M,0.21,2023
2023-08-22,142.95,143.25,144.29,142.53,2.33M,0.07,2023
2023-08-21,142.85,145.1,145.46,141.27,3.50M,-1.22,2023
2023-08-18,144.62,141.5,144.72,141.12,3.15M,1.49,2023
2023-08-17,142.49,143.35,145.2,142.27,3.35M,0.77,2023
2023-08-16,141.4,142.6,145.16,141.1,3.62M,-0.86,2023
2023-08-15,142.62,144.65,146.32,141.72,5.57M,-3.99,2023
2023-08-14,148.54,149.0,149.7,147.53,3.44M,-0.81,2023
2023-08-11,149.75,145.72,149.76,145.71,4.40M,3.08,2023
2023-08-10,145.28,145.01,147.52,144.27,4.14M,0.85,2023
2023-08-09,144.05,143.0,146.56,142.32,4.78M,1.6,2023
2023-08-08,141.78,138.56,142.62,137.57,4.23M,1.27,2023
2023-08-07,140.0,139.14,141.7,138.77,4.11M,1.49,2023
2023-08-04,137.95,137.28,139.85,136.79,3.48M,1.27,2023
2023-08-03,136.22,135.45,137.38,133.65,3.72M,0.26,2023
2023-08-02,135.87,135.12,137.41,133.65,4.48M,0.69,2023
2023-08-01,134.94,131.79,135.0,131.21,3.49M,1.44,2023
2023-07-31,133.02,132.03,133.9,131.91,4.07M,0.9,2023
2023-07-28,131.83,130.09,131.94,129.68,2.56M,1.74,2023
2023-07-27,129.58,130.68,131.35,128.07,3.03M,-0.59,2023
2023-07-26,130.35,127.74,131.09,127.71,2.86M,1.35,2023
2023-07-25,128.61,127.8,130.11,127.14,2.99M,0.17,2023
2023-07-24,128.39,126.5,129.93,126.21,3.08M,2.04,2023
2023-07-21,125.82,125.0,126.16,123.96,2.59M,1.26,2023
2023-07-20,124.25,123.0,124.3,122.08,3.14M,1.75,2023
2023-07-19,122.11,119.46,122.21,119.46,2.88M,2.24,2023
2023-07-18,119.43,117.93,121.59,117.63,2.31M,1.1,2023
2023-07-17,118.13,118.04,119.37,117.28,2.12M,-0.24,2023
2023-07-14,118.41,119.54,119.54,117.54,2.01M,-1.26,2023
2023-07-13,119.92,119.94,121.14,118.81,2.37M,-0.03,2023
2023-07-12,119.96,121.0,122.43,119.42,2.40M,-0.04,2023
2023-07-11,120.01,118.51,120.28,117.95,2.65M,1.84,2023
2023-07-10,117.84,117.58,118.94,117.15,2.58M,-0.15,2023
2023-07-07,118.02,113.36,119.1,113.2,4.15M,4.13,2023
2023-07-06,113.34,115.42,115.9,112.82,3.08M,-2.47,2023
2023-07-05,116.21,117.7,117.9,115.66,2.78M,-1.13,2023
2023-07-03,117.54,117.16,118.61,116.83,1.54M,0.81,2023
2023-06-30,116.6,116.79,117.47,115.5,2.65M,0.22,2023
2023-06-29,116.34,115.25,117.0,115.1,2.32M,1.08,2023
2023-06-28,115.1,113.89,115.35,112.89,2.51M,0.98,2023
2023-06-27,113.98,113.14,114.68,112.42,2.34M,0.83,2023
2023-06-26,113.04,111.51,113.69,111.27,2.35M,1.25,2023
2023-06-23,111.64,109.71,112.03,109.71,3.54M,0.2,2023
2023-06-22,111.42,110.3,111.89,108.88,2.91M,-0.52,2023
2023-06-21,112.0,110.45,113.14,109.94,2.94M,0.96,2023
2023-06-20,110.94,112.91,113.13,110.69,3.82M,-2.07,2023
2023-06-16,113.29,114.06,114.5,112.59,10.77M,-0.47,2023
2023-06-15,113.83,111.81,114.49,111.81,3.24M,1.96,2023
2023-06-14,111.64,113.46,114.1,110.64,3.15M,-0.76,2023
2023-06-13,112.5,113.75,115.6,112.32,3.17M,0.12,2023
2023-06-12,112.37,111.09,113.83,111.04,3.06M,-0.57,2023
2023-06-09,113.01,112.74,113.54,111.22,2.70M,0.52,2023
2023-06-08,112.43,114.0,114.59,110.49,3.81M,-1.48,2023
2023-06-07,114.12,109.13,114.16,108.94,4.09M,4.67,2023
2023-06-06,109.03,107.05,109.41,106.95,2.95M,0.31,2023
2023-06-05,108.69,109.85,110.53,107.6,3.00M,-0.2,2023
2023-06-02,108.91,107.94,109.88,106.76,3.63M,2.87,2023
2023-06-01,105.87,105.45,107.27,104.82,4.18M,0.92,2023
2023-05-31,104.91,105.61,106.55,104.32,12.83M,-2.67,2023
2023-05-30,107.79,106.54,108.22,106.16,4.10M,-0.94,2023
2023-05-26,108.81,110.18,110.3,107.69,3.48M,-0.65,2023
2023-05-25,109.52,109.02,109.79,107.43,3.90M,-0.92,2023
2023-05-24,110.54,111.05,111.4,109.18,3.70M,0.56,2023
2023-05-23,109.92,110.88,111.51,109.42,3.98M,-0.64,2023
2023-05-22,110.63,110.53,111.78,110.35,3.00M,0.29,2023
2023-05-19,110.31,111.81,112.14,109.86,2.33M,-0.6,2023
2023-05-18,110.98,109.95,111.3,108.67,3.36M,0.32,2023
2023-05-17,110.63,108.32,111.26,107.11,3.73M,3.63,2023
2023-05-16,106.75,109.88,110.84,106.48,4.51M,-3.51,2023
2023-05-15,110.63,110.41,111.94,109.52,3.94M,0.68,2023
2023-05-12,109.88,111.17,111.76,109.08,3.26M,-0.2,2023
2023-05-11,110.1,109.59,111.67,108.99,3.58M,-1.45,2023
2023-05-10,111.72,111.53,112.97,109.29,5.08M,0.7,2023
2023-05-09,110.94,107.88,111.89,107.69,5.64M,2.05,2023
2023-05-08,108.71,108.52,109.79,107.71,4.44M,1.69,2023
2023-05-05,106.9,107.93,108.46,106.68,4.35M,1.75,2023
2023-05-04,105.06,109.54,110.48,104.44,7.33M,-4.55,2023
2023-05-03,110.07,115.37,116.77,109.89,6.64M,-5.9,2023
2023-05-02,116.97,122.0,122.43,114.56,5.34M,-4.48,2023
2023-05-01,122.46,121.44,122.94,120.82,4.17M,0.38,2023
2023-04-28,122.0,120.49,123.17,119.75,5.34M,0.47,2023
2023-04-27,121.43,122.53,123.07,120.58,4.61M,-0.9,2023
2023-04-26,122.53,123.4,123.82,121.32,3.43M,-0.5,2023
2023-04-25,123.15,125.18,125.75,122.51,2.88M,-2.66,2023
2023-04-24,126.51,123.31,127.64,123.02,4.21M,2.41,2023
2023-04-21,123.53,125.63,126.06,122.65,3.26M,-1.72,2023
2023-04-20,125.69,125.06,126.34,124.4,3.06M,-0.55,2023
2023-04-19,126.39,127.94,128.4,124.71,3.84M,-2.07,2023
2023-04-18,129.06,128.15,129.66,127.36,2.96M,-0.19,2023
2023-04-17,129.3,130.21,130.66,127.62,2.88M,-1.13,2023
2023-04-14,130.78,130.47,131.78,129.44,2.40M,0.23,2023
2023-04-13,130.48,129.46,131.1,127.7,2.50M,0.2,2023
2023-04-12,130.22,131.69,132.09,130.0,2.41M,-1.49,2023
2023-04-11,132.19,131.99,133.34,131.09,2.58M,0.72,2023
2023-04-10,131.24,128.73,131.97,128.73,2.77M,1.99,2023
2023-04-06,128.68,132.95,133.05,128.38,3.28M,-3.04,2023
2023-04-05,132.71,125.5,133.4,125.06,6.39M,5.48,2023
2023-04-04,125.82,134.28,134.47,124.9,5.26M,-7.24,2023
2023-04-03,135.64,137.23,138.83,132.93,4.75M,0.6,2023
2023-03-31,134.83,134.19,134.9,132.86,3.14M,0.66,2023
2023-03-30,133.94,135.02,135.27,133.0,2.94M,-0.1,2023
2023-03-29,134.08,134.01,135.13,132.99,4.42M,1.91,2023
2023-03-28,131.57,127.05,132.71,127.0,3.91M,2.06,2023
2023-03-27,128.91,126.3,129.93,125.89,4.11M,3.38,2023
2023-03-24,124.7,123.32,125.51,120.58,3.86M,-1.15,2023
