Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,59.71,60.0,60.3,59.54,5.93M,-0.43,2023
2023-12-28,59.97,60.81,60.98,59.95,7.96M,-1.75,2023
2023-12-27,61.04,61.51,61.67,60.93,5.46M,-0.65,2023
2023-12-26,61.44,61.3,61.8,61.25,7.13M,1.04,2023
2023-12-22,60.81,61.34,61.94,60.7,10.99M,0.61,2023
2023-12-21,60.44,60.0,60.54,60.0,9.86M,0.45,2023
2023-12-20,60.17,60.51,61.06,60.08,11.45M,-0.22,2023
2023-12-19,60.3,59.12,60.33,58.84,11.38M,2.26,2023
2023-12-18,58.97,59.69,59.89,58.97,9.28M,0.7,2023
2023-12-15,58.56,58.63,58.94,58.05,17.70M,-0.34,2023
2023-12-14,58.76,58.8,59.68,58.68,19.89M,2.69,2023
2023-12-13,57.22,55.67,57.27,55.61,15.85M,3.01,2023
2023-12-12,55.55,56.52,56.72,55.12,23.32M,-2.65,2023
2023-12-11,57.06,56.37,57.21,56.31,15.27M,1.04,2023
2023-12-08,56.47,56.95,56.95,56.33,8.21M,0.12,2023
2023-12-07,56.4,56.67,57.14,55.84,11.62M,-0.14,2023
2023-12-06,56.48,56.9,57.31,56.33,12.92M,-1.4,2023
2023-12-05,57.28,57.98,58.08,57.23,8.24M,-1.0,2023
2023-12-04,57.86,58.43,58.7,57.76,11.47M,-1.65,2023
2023-12-01,58.83,59.1,59.6,58.78,9.72M,-0.54,2023
2023-11-30,59.15,60.61,60.72,59.01,15.86M,-1.96,2023
2023-11-29,60.33,60.26,60.46,59.88,7.54M,0.45,2023
2023-11-28,60.06,59.87,60.4,59.62,6.97M,0.32,2023
2023-11-27,59.87,59.97,60.16,59.43,8.32M,-0.48,2023
2023-11-24,60.16,60.0,60.84,59.99,4.45M,-0.08,2023
2023-11-22,60.21,59.6,60.35,59.24,10.59M,-0.89,2023
2023-11-21,60.75,60.87,61.14,60.32,6.09M,-0.64,2023
2023-11-20,61.14,61.44,62.01,61.12,6.14M,0.3,2023
2023-11-17,60.96,60.85,61.57,60.56,9.19M,1.08,2023
2023-11-16,60.31,60.64,60.91,59.62,10.98M,-1.62,2023
