Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,133.14,133.34,133.9,132.69,2.02M,0.23%,2023
2023-12-28,132.84,134.1,134.69,132.79,1.83M,-1.38%,2023
2023-12-27,134.7,135.21,135.99,134.21,1.80M,-0.75%,2023
2023-12-26,135.72,135.1,136.09,134.52,1.54M,1.24%,2023
2023-12-22,134.06,135.63,135.82,133.92,1.40M,-0.17%,2023
2023-12-21,134.29,134.34,135.34,133.28,3.24M,0.16%,2023
2023-12-20,134.07,134.29,136.69,133.83,3.37M,0.20%,2023
2023-12-19,133.8,131.52,133.83,131.42,2.87M,1.90%,2023
2023-12-18,131.3,131.31,133.02,130.73,2.99M,1.10%,2023
2023-12-15,129.87,127.94,130.18,127.72,9.65M,-0.18%,2023
2023-12-14,130.11,128.0,130.37,126.26,4.26M,2.32%,2023
2023-12-13,127.16,125.01,127.42,123.38,3.05M,1.55%,2023
2023-12-12,125.22,125.08,125.5,123.87,3.48M,-0.94%,2023
2023-12-11,126.41,125.04,127.36,124.76,2.98M,0.87%,2023
2023-12-08,125.32,125.42,126.4,123.29,4.10M,0.56%,2023
2023-12-07,124.62,125.94,126.74,124.07,3.70M,-0.30%,2023
2023-12-06,125.0,126.84,127.86,124.63,2.95M,-2.11%,2023
2023-12-05,127.7,128.6,130.58,127.51,3.48M,-0.58%,2023
2023-12-04,128.44,128.91,131.37,127.9,4.84M,-0.97%,2023
2023-12-01,129.7,128.5,131.26,127.75,4.76M,0.63%,2023
2023-11-30,128.89,122.72,129.75,122.41,9.15M,5.46%,2023
2023-11-29,122.22,123.0,123.87,121.3,6.87M,3.58%,2023
2023-11-28,118.0,118.55,119.23,117.74,1.93M,-0.28%,2023
2023-11-27,118.33,118.23,118.87,117.32,2.45M,-0.25%,2023
2023-11-24,118.63,118.3,120.04,118.0,1.17M,0.53%,2023
2023-11-22,118.01,115.89,118.21,114.94,2.21M,0.51%,2023
2023-11-21,117.41,117.5,118.14,116.43,2.04M,-0.59%,2023
2023-11-20,118.11,116.58,119.01,116.58,2.88M,1.50%,2023
2023-11-17,116.37,114.17,117.38,114.17,3.35M,2.50%,2023
2023-11-16,113.53,113.44,114.74,111.9,4.56M,-1.70%,2023
2023-11-15,115.49,114.56,116.92,114.25,3.20M,0.41%,2023
2023-11-14,115.02,114.31,115.54,114.16,2.41M,0.76%,2023
2023-11-13,114.15,113.5,114.64,113.25,1.49M,0.63%,2023
2023-11-10,113.44,112.0,113.59,111.74,2.43M,2.54%,2023
2023-11-09,110.63,111.81,112.93,110.54,1.80M,-1.06%,2023
2023-11-08,111.81,113.05,113.89,111.62,2.90M,-1.80%,2023
2023-11-07,113.86,115.33,115.47,113.21,2.18M,-2.56%,2023
2023-11-06,116.85,117.24,118.11,116.34,2.48M,0.05%,2023
2023-11-03,116.79,117.76,118.34,115.27,2.52M,-1.13%,2023
2023-11-02,118.12,116.16,118.52,116.0,2.57M,1.75%,2023
2023-11-01,116.09,114.85,117.09,113.74,3.34M,1.77%,2023
2023-10-31,114.07,114.43,115.23,112.42,3.62M,1.45%,2023
2023-10-30,112.44,112.22,113.5,109.86,3.19M,1.36%,2023
2023-10-27,110.93,111.14,112.06,107.85,5.21M,0.75%,2023
2023-10-26,110.1,109.86,110.54,108.09,3.52M,-0.58%,2023
2023-10-25,110.74,112.13,112.89,110.47,2.58M,-1.06%,2023
2023-10-24,111.93,113.53,113.69,111.89,2.33M,-0.99%,2023
2023-10-23,113.05,113.31,113.58,112.02,2.46M,-0.43%,2023
2023-10-20,113.54,115.35,116.03,113.15,2.67M,-1.43%,2023
2023-10-19,115.19,116.15,116.36,114.63,2.09M,-0.91%,2023
2023-10-18,116.25,114.19,116.77,113.98,3.25M,2.05%,2023
2023-10-17,113.91,111.68,113.98,111.68,2.47M,1.91%,2023
2023-10-16,111.78,111.5,112.66,111.07,2.75M,1.07%,2023
2023-10-13,110.6,112.46,112.74,110.48,3.39M,-0.14%,2023
2023-10-12,110.75,112.92,113.0,109.89,1.98M,-1.23%,2023
2023-10-11,112.13,111.42,112.49,110.16,2.04M,-0.23%,2023
2023-10-10,112.39,110.86,112.99,110.34,2.66M,1.06%,2023
2023-10-09,111.21,111.06,111.65,109.34,2.77M,1.85%,2023
2023-10-06,109.19,110.51,110.82,108.2,2.63M,-0.26%,2023
2023-10-05,109.48,108.78,111.17,108.59,3.21M,-0.91%,2023
2023-10-04,110.49,113.16,113.3,108.66,4.46M,-4.45%,2023
2023-10-03,115.63,118.0,118.54,114.13,2.99M,-2.85%,2023
2023-10-02,119.02,120.09,120.3,118.19,2.45M,-0.94%,2023
2023-09-29,120.15,123.44,123.44,119.48,2.84M,-2.62%,2023
2023-09-28,123.38,120.49,123.47,120.39,3.29M,2.14%,2023
2023-09-27,120.8,120.46,121.54,119.73,2.79M,1.16%,2023
2023-09-26,119.42,119.2,120.28,118.6,2.35M,-0.70%,2023
2023-09-25,120.26,118.5,120.64,118.46,2.50M,1.42%,2023
2023-09-22,118.58,120.5,121.7,118.52,2.43M,-1.13%,2023
2023-09-21,119.94,122.42,123.84,119.69,2.73M,-0.11%,2023
2023-09-20,120.07,119.72,121.8,119.55,2.49M,-0.12%,2023
2023-09-19,120.22,123.4,123.48,119.07,2.97M,-1.82%,2023
2023-09-18,122.45,122.53,123.91,121.0,2.24M,1.17%,2023
2023-09-15,121.03,121.97,122.47,120.34,9.31M,-1.58%,2023
2023-09-14,122.97,123.91,124.0,122.7,2.53M,-0.16%,2023
2023-09-13,123.17,124.75,125.19,122.39,2.78M,-0.89%,2023
2023-09-12,124.28,122.88,124.83,122.6,4.23M,1.59%,2023
2023-09-11,122.34,122.9,124.06,121.28,3.11M,0.09%,2023
2023-09-08,122.23,119.87,123.56,119.43,4.71M,2.93%,2023
2023-09-07,118.75,117.25,118.99,116.77,3.35M,1.81%,2023
2023-09-06,116.64,116.87,117.99,115.61,1.76M,-0.09%,2023
2023-09-05,116.74,117.7,118.77,116.71,2.33M,-0.37%,2023
2023-09-01,117.17,116.13,117.31,115.1,2.79M,2.64%,2023
2023-08-31,114.16,113.7,114.61,112.07,3.09M,0.45%,2023
2023-08-30,113.65,112.85,114.0,112.75,2.11M,0.85%,2023
2023-08-29,112.69,113.18,113.52,112.03,1.93M,-0.39%,2023
2023-08-28,113.13,113.26,114.78,112.62,1.70M,-0.67%,2023
2023-08-25,113.89,112.79,114.46,111.75,2.26M,1.33%,2023
2023-08-24,112.39,111.62,113.21,111.55,1.71M,0.12%,2023
2023-08-23,112.26,111.93,112.44,110.16,2.03M,-0.60%,2023
2023-08-22,112.94,113.7,114.22,112.62,2.22M,-0.34%,2023
2023-08-21,113.33,114.9,115.39,112.22,2.66M,-0.80%,2023
