Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,52.04,52.25,52.4,51.77,8.64M,-0.38,2023
2023-12-28,52.24,52.76,53.12,52.17,7.00M,-1.49,2023
2023-12-27,53.03,53.48,53.98,52.88,7.13M,-1.21,2023
2023-12-26,53.68,53.86,54.37,53.57,5.63M,1.13,2023
2023-12-22,53.08,52.99,53.43,52.73,5.12M,0.95,2023
2023-12-21,52.58,52.5,53.03,52.21,7.47M,0.06,2023
2023-12-20,52.55,52.75,53.98,52.51,6.48M,-0.81,2023
2023-12-19,52.98,52.43,53.07,52.27,7.35M,1.34,2023
2023-12-18,52.28,53.07,53.84,52.24,9.36M,0.17,2023
2023-12-15,52.19,52.08,52.5,51.61,21.72M,-0.44,2023
2023-12-14,52.42,49.99,52.74,49.89,19.57M,6.57,2023
2023-12-13,49.19,49.32,49.61,48.44,10.50M,0.31,2023
2023-12-12,49.04,48.49,49.26,48.2,8.87M,-0.22,2023
2023-12-11,49.15,49.0,49.63,48.83,8.82M,0.72,2023
2023-12-08,48.8,48.43,49.1,48.12,13.21M,0.7,2023
2023-12-07,48.46,49.39,49.41,48.08,12.96M,-1.36,2023
2023-12-06,49.13,50.27,50.77,48.97,13.58M,-2.92,2023
2023-12-05,50.61,51.66,51.74,50.5,6.90M,-2.73,2023
2023-12-04,52.03,51.98,52.49,51.41,7.77M,-0.69,2023
2023-12-01,52.39,51.98,53.09,51.73,6.38M,0.67,2023
2023-11-30,52.04,52.58,53.4,51.55,11.52M,0.33,2023
2023-11-29,51.87,52.7,52.76,51.48,8.00M,-0.84,2023
2023-11-28,52.31,52.7,52.87,52.16,5.62M,-0.46,2023
2023-11-27,52.55,52.48,52.64,51.75,6.37M,-0.1,2023
2023-11-24,52.6,52.74,53.09,52.48,3.08M,0.15,2023
2023-11-22,52.52,51.57,52.73,50.78,7.94M,-0.38,2023
2023-11-21,52.72,52.23,52.84,51.99,6.89M,-0.04,2023
2023-11-20,52.74,53.44,53.44,52.6,8.09M,-0.21,2023
2023-11-17,52.85,52.77,53.36,52.23,14.08M,1.42,2023
2023-11-16,52.11,53.19,53.6,51.31,11.05M,-2.92,2023
2023-11-15,53.68,54.32,54.71,53.44,8.33M,-1.23,2023
2023-11-14,54.35,54.18,54.71,53.86,6.99M,0.65,2023
2023-11-13,54.0,53.3,54.35,53.03,6.85M,1.31,2023
2023-11-10,53.3,53.27,53.49,52.67,9.27M,1.06,2023
2023-11-09,52.74,53.13,53.53,52.58,9.28M,-0.36,2023
2023-11-08,52.93,52.88,53.64,52.44,13.77M,-0.75,2023
2023-11-07,53.33,55.35,55.5,53.0,17.84M,-5.58,2023
2023-11-06,56.48,57.41,57.47,56.2,5.17M,-0.69,2023
2023-11-03,56.87,57.41,57.75,56.59,5.90M,-0.85,2023
2023-11-02,57.36,55.88,57.43,55.71,5.81M,2.69,2023
2023-11-01,55.86,56.0,56.7,55.62,6.20M,0.36,2023
2023-10-31,55.66,56.11,56.5,55.44,8.05M,-1.31,2023
2023-10-30,56.4,56.32,56.53,55.35,6.70M,1.02,2023
2023-10-27,55.83,56.0,56.18,55.02,6.94M,-0.07,2023
2023-10-26,55.87,56.01,56.63,55.25,8.16M,-1.32,2023
2023-10-25,56.62,56.88,57.27,55.72,8.57M,-0.67,2023
2023-10-24,57.0,58.94,59.05,56.97,8.41M,-3.13,2023
2023-10-23,58.84,58.39,59.03,56.88,9.66M,1.08,2023
2023-10-20,58.21,59.22,60.2,56.74,13.10M,-2.93,2023
2023-10-19,59.97,60.03,60.85,59.4,7.49M,-1.02,2023
2023-10-18,60.59,60.36,61.2,60.35,6.96M,0.58,2023
2023-10-17,60.24,59.27,60.39,59.14,6.53M,1.33,2023
2023-10-16,59.45,59.41,59.74,58.78,5.95M,0.83,2023
2023-10-13,58.96,59.4,59.82,58.85,6.82M,1.01,2023
2023-10-12,58.37,59.48,59.62,57.78,5.02M,-0.66,2023
2023-10-11,58.76,58.02,58.89,57.76,5.64M,0.24,2023
2023-10-10,58.62,58.32,58.97,57.95,6.61M,0.65,2023
2023-10-09,58.24,57.27,58.52,56.97,6.67M,4.56,2023
2023-10-06,55.7,55.58,56.22,54.81,8.64M,0.54,2023
2023-10-05,55.4,55.53,56.46,55.12,7.49M,-0.77,2023
2023-10-04,55.83,57.74,57.87,55.31,10.92M,-4.74,2023
2023-10-03,58.61,57.5,58.64,57.2,8.41M,1.16,2023
2023-10-02,57.94,58.32,58.48,56.86,7.55M,-0.62,2023
2023-09-29,58.3,60.75,60.84,58.2,11.28M,-4.33,2023
2023-09-28,60.94,60.55,61.41,60.31,7.57M,0.23,2023
2023-09-27,60.8,60.0,61.07,59.58,7.66M,2.82,2023
2023-09-26,59.13,59.15,59.78,58.97,5.80M,-1.19,2023
2023-09-25,59.84,58.93,59.88,58.74,6.28M,1.36,2023
2023-09-22,59.04,59.18,59.5,58.84,5.98M,0.37,2023
2023-09-21,58.82,60.1,60.1,58.63,6.84M,-1.62,2023
2023-09-20,59.79,60.13,61.04,59.75,5.36M,-1.06,2023
2023-09-19,60.43,61.7,61.7,59.83,9.07M,-1.27,2023
2023-09-18,61.21,61.0,61.78,60.82,6.23M,1.04,2023
2023-09-15,60.58,61.06,61.42,60.07,19.79M,-1.66,2023
2023-09-14,61.6,61.37,61.66,60.84,6.86M,1.62,2023
2023-09-13,60.62,61.93,62.03,60.47,7.91M,-2.38,2023
2023-09-12,62.1,61.3,62.12,60.85,11.48M,2.19,2023
2023-09-11,60.77,61.01,61.4,60.38,8.39M,1.0,2023
2023-09-08,60.17,60.62,61.16,59.82,8.33M,-1.08,2023
2023-09-07,60.83,60.97,61.38,60.69,7.87M,-0.28,2023
2023-09-06,61.0,60.32,61.36,60.1,9.30M,1.31,2023
2023-09-05,60.21,60.2,61.15,59.96,8.43M,0.15,2023
2023-09-01,60.12,59.85,60.49,59.49,6.92M,1.97,2023
2023-08-31,58.96,59.12,59.38,58.25,10.10M,-0.07,2023
2023-08-30,59.0,58.74,59.01,58.36,5.84M,1.34,2023
2023-08-29,58.22,57.95,58.43,57.18,4.91M,0.67,2023
2023-08-28,57.83,56.62,57.94,56.62,4.81M,2.43,2023
2023-08-25,56.46,57.19,57.24,56.15,8.62M,-0.58,2023
2023-08-24,56.79,57.41,58.01,56.71,6.69M,-1.9,2023
2023-08-23,57.89,55.68,58.15,55.52,10.72M,2.62,2023
2023-08-22,56.41,57.36,57.46,56.25,8.61M,-1.79,2023
2023-08-21,57.44,58.49,58.83,57.03,6.27M,-1.02,2023
2023-08-18,58.03,57.18,58.16,56.96,7.10M,0.24,2023
2023-08-17,57.89,58.76,59.04,57.74,5.93M,0.21,2023
2023-08-16,57.77,58.32,58.81,57.52,6.23M,-0.96,2023
2023-08-15,58.33,58.84,58.86,57.87,6.04M,-2.0,2023
2023-08-14,59.52,59.45,59.8,59.08,5.74M,-0.22,2023
2023-08-11,59.65,58.84,59.93,58.73,7.09M,1.24,2023
2023-08-10,58.92,59.39,59.95,58.34,8.86M,-0.99,2023
2023-08-09,59.51,59.0,60.12,58.69,11.98M,1.71,2023
2023-08-08,58.51,56.8,58.61,56.08,7.75M,0.93,2023
2023-08-07,57.97,57.9,58.41,57.68,5.96M,0.52,2023
2023-08-04,57.67,58.24,58.6,57.56,7.63M,-0.53,2023
2023-08-03,57.98,57.71,58.38,57.31,7.39M,0.89,2023
2023-08-02,57.47,57.22,57.67,56.44,6.73M,-0.24,2023
2023-08-01,57.61,58.02,58.22,56.98,6.93M,-1.25,2023
2023-07-31,58.34,57.57,58.69,57.38,8.28M,2.08,2023
2023-07-28,57.15,57.12,57.44,56.64,7.02M,0.23,2023
2023-07-27,57.02,57.97,58.14,56.81,7.79M,-1.13,2023
2023-07-26,57.67,57.05,58.22,57.01,8.11M,-0.36,2023
2023-07-25,57.88,57.08,58.12,56.77,10.69M,1.51,2023
2023-07-24,57.02,56.22,57.09,55.92,10.60M,1.8,2023
2023-07-21,56.01,55.82,56.61,54.7,16.64M,-2.18,2023
2023-07-20,57.26,57.65,57.91,56.69,9.96M,-0.17,2023
2023-07-19,57.36,56.31,57.44,56.13,13.07M,0.67,2023
2023-07-18,56.98,56.35,57.57,56.19,11.39M,0.83,2023
2023-07-17,56.51,56.62,57.02,56.04,13.60M,-1.09,2023
2023-07-14,57.13,56.83,57.17,56.43,14.42M,-0.51,2023
2023-07-13,57.42,57.0,57.62,56.35,15.78M,1.31,2023
2023-07-12,56.68,56.53,57.09,55.98,14.30M,1.12,2023
2023-07-11,56.05,53.94,56.24,53.85,18.10M,4.53,2023
2023-07-10,53.62,52.84,53.73,52.65,14.82M,0.51,2023
2023-07-07,53.35,48.94,53.62,48.81,23.18M,8.61,2023
2023-07-06,49.12,48.91,49.55,48.31,9.42M,-0.37,2023
2023-07-05,49.3,49.71,49.78,49.12,8.72M,-0.34,2023
2023-07-03,49.47,49.3,49.9,48.94,3.54M,0.71,2023
2023-06-30,49.12,49.0,49.71,48.67,13.42M,1.34,2023
2023-06-29,48.47,48.87,48.91,47.66,10.51M,-0.25,2023
2023-06-28,48.59,48.06,48.88,47.33,9.20M,0.93,2023
2023-06-27,48.14,47.9,48.47,47.26,13.20M,1.65,2023
2023-06-26,47.36,46.67,47.74,46.51,6.20M,1.65,2023
2023-06-23,46.59,46.14,46.6,45.75,9.30M,-0.53,2023
2023-06-22,46.84,47.5,47.63,46.79,8.53M,-1.93,2023
2023-06-21,47.76,47.15,48.41,46.82,6.73M,1.06,2023
2023-06-20,47.26,46.93,47.36,46.47,7.81M,-1.09,2023
2023-06-16,47.78,48.11,48.4,47.72,14.74M,-0.25,2023
2023-06-15,47.9,47.77,48.34,47.73,6.37M,1.33,2023
2023-06-14,47.27,48.53,48.86,46.83,7.07M,-1.44,2023
2023-06-13,47.96,47.89,49.09,47.76,8.82M,2.0,2023
2023-06-12,47.02,46.47,47.53,46.45,5.89M,-1.07,2023
2023-06-09,47.53,47.56,48.19,47.15,6.95M,0.17,2023
2023-06-08,47.45,48.25,48.47,46.97,8.29M,-1.41,2023
2023-06-07,48.13,47.32,48.33,47.13,9.21M,2.51,2023
2023-06-06,46.95,45.47,46.97,45.33,12.37M,1.58,2023
2023-06-05,46.22,47.61,47.76,46.09,7.93M,-1.18,2023
2023-06-02,46.77,46.07,47.44,45.63,11.28M,3.98,2023
2023-06-01,44.98,43.06,45.62,42.9,12.22M,5.02,2023
2023-05-31,42.83,42.77,43.5,42.73,15.55M,-3.34,2023
2023-05-30,44.31,43.58,44.35,43.25,8.38M,-0.38,2023
2023-05-26,44.48,45.7,45.9,44.03,12.29M,-1.51,2023
2023-05-25,45.16,45.3,45.69,44.58,15.89M,-2.31,2023
2023-05-24,46.23,45.96,46.6,45.5,6.90M,0.37,2023
2023-05-23,46.06,46.32,46.49,45.8,7.54M,0.13,2023
2023-05-22,46.0,45.27,46.18,45.19,11.13M,1.61,2023
2023-05-19,45.27,45.38,45.76,45.02,8.36M,0.94,2023
2023-05-18,44.85,44.02,44.99,43.69,8.37M,0.79,2023
2023-05-17,44.5,43.84,44.51,43.04,12.58M,2.89,2023
2023-05-16,43.25,44.33,44.41,42.95,11.90M,-3.03,2023
2023-05-15,44.6,44.38,44.88,43.91,6.81M,1.2,2023
2023-05-12,44.07,44.54,45.2,43.78,10.20M,-0.16,2023
2023-05-11,44.14,45.16,45.31,43.9,15.13M,-3.75,2023
2023-05-10,45.86,47.13,47.28,45.51,10.12M,-2.78,2023
2023-05-09,47.17,46.37,47.71,46.29,9.83M,1.2,2023
2023-05-08,46.61,46.67,46.83,46.04,8.86M,1.88,2023
