Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,74.73,74.49,74.83,74.24,1.74M,0.08%,2023
2023-12-28,74.67,74.0,74.71,74.0,1.23M,0.71%,2023
2023-12-27,74.14,74.29,74.71,73.89,2.04M,-0.43%,2023
2023-12-26,74.46,73.63,74.8,73.6,2.27M,1.03%,2023
2023-12-22,73.7,73.63,74.1,73.29,1.84M,0.77%,2023
2023-12-21,73.14,73.29,73.99,72.93,2.57M,0.00%,2023
2023-12-20,73.14,74.85,75.08,73.08,3.97M,-2.48%,2023
2023-12-19,75.0,75.04,75.41,74.66,2.89M,0.27%,2023
2023-12-18,74.8,75.54,75.86,74.67,2.76M,-0.56%,2023
2023-12-15,75.22,75.95,76.42,74.48,8.52M,-1.65%,2023
2023-12-14,76.48,76.99,77.79,76.09,6.50M,-0.01%,2023
2023-12-13,76.49,73.92,76.6,73.58,3.51M,3.57%,2023
2023-12-12,73.85,74.84,74.84,73.71,3.23M,-0.12%,2023
2023-12-11,73.94,72.18,74.01,72.07,5.28M,2.16%,2023
2023-12-08,72.38,73.22,73.32,72.22,2.52M,-0.90%,2023
2023-12-07,73.04,73.14,73.59,72.74,3.16M,-0.01%,2023
2023-12-06,73.05,71.48,73.08,71.45,4.00M,2.99%,2023
2023-12-05,70.93,72.07,72.31,70.91,2.81M,-2.58%,2023
2023-12-04,72.81,72.76,73.47,72.66,3.51M,-0.53%,2023
2023-12-01,73.2,72.93,73.28,72.55,3.14M,0.45%,2023
2023-11-30,72.87,73.26,73.45,72.28,11.12M,-0.11%,2023
2023-11-29,72.95,73.71,74.06,72.78,2.65M,-0.78%,2023
2023-11-28,73.52,73.86,74.61,73.45,7.09M,-0.27%,2023
2023-11-27,73.72,73.71,73.86,73.3,3.86M,0.07%,2023
2023-11-24,73.67,72.98,73.78,72.88,1.84M,0.75%,2023
2023-11-22,73.12,73.11,73.28,72.5,2.93M,0.34%,2023
2023-11-21,72.87,72.58,72.92,72.19,3.54M,0.61%,2023
2023-11-20,72.43,71.99,72.58,71.14,3.70M,0.24%,2023
2023-11-17,72.26,72.58,72.62,71.91,2.34M,0.10%,2023
2023-11-16,72.19,72.56,72.91,72.07,4.47M,0.29%,2023
2023-11-15,71.98,72.57,73.35,71.83,4.60M,-0.85%,2023
2023-11-14,72.6,71.48,72.67,71.11,5.08M,3.68%,2023
2023-11-13,70.02,70.13,70.25,69.42,5.46M,-0.45%,2023
2023-11-10,70.34,69.84,70.45,69.22,3.47M,1.11%,2023
2023-11-09,69.57,70.74,70.93,69.47,3.46M,-1.36%,2023
2023-11-08,70.53,70.0,70.62,69.76,7.95M,-1.22%,2023
2023-11-07,71.4,72.06,72.13,71.19,2.12M,-0.67%,2023
2023-11-06,71.88,72.5,72.72,71.49,2.11M,-0.65%,2023
2023-11-03,72.35,73.56,74.44,72.33,4.04M,0.37%,2023
2023-11-02,72.08,70.94,72.55,70.46,3.50M,1.88%,2023
2023-11-01,70.75,70.38,71.44,69.47,2.47M,1.03%,2023
2023-10-31,70.03,69.94,70.11,69.2,2.48M,0.78%,2023
2023-10-30,69.49,70.14,70.78,69.13,2.55M,-0.33%,2023
2023-10-27,69.72,70.34,70.76,69.42,1.94M,-1.53%,2023
2023-10-26,70.8,70.48,71.58,70.21,1.97M,0.90%,2023
2023-10-25,70.17,69.49,70.47,69.39,2.38M,0.56%,2023
2023-10-24,69.78,68.8,70.01,68.69,2.95M,2.41%,2023
2023-10-23,68.14,68.08,69.3,67.83,2.44M,-0.61%,2023
2023-10-20,68.56,69.7,70.12,68.52,3.34M,-1.42%,2023
2023-10-19,69.55,70.32,70.64,69.33,2.70M,-1.24%,2023
2023-10-18,70.42,70.38,70.8,69.52,2.08M,-0.21%,2023
2023-10-17,70.57,70.56,71.22,70.11,2.77M,-0.48%,2023
2023-10-16,70.91,69.77,71.17,69.43,3.16M,2.04%,2023
2023-10-13,69.49,69.01,69.5,68.39,2.42M,1.50%,2023
2023-10-12,68.46,69.16,69.52,67.84,2.90M,-1.17%,2023
2023-10-11,69.27,68.83,69.45,68.26,3.24M,1.05%,2023
2023-10-10,68.55,68.5,68.88,68.03,2.96M,0.07%,2023
2023-10-09,68.5,67.12,68.52,66.81,2.37M,2.04%,2023
2023-10-06,67.13,65.38,67.47,64.29,3.28M,1.33%,2023
2023-10-05,66.25,66.24,66.7,65.56,2.53M,-0.36%,2023
2023-10-04,66.49,66.7,66.89,65.23,3.30M,0.23%,2023
2023-10-03,66.34,64.58,66.68,63.75,4.24M,1.64%,2023
2023-10-02,65.27,67.49,67.77,64.74,4.52M,-4.06%,2023
2023-09-29,68.03,68.43,68.73,67.44,3.32M,0.38%,2023
2023-09-28,67.77,69.68,69.76,67.65,2.96M,-2.36%,2023
2023-09-27,69.41,69.27,70.27,69.06,3.32M,0.27%,2023
2023-09-26,69.22,70.61,71.05,69.0,3.90M,-3.40%,2023
2023-09-25,71.66,71.09,71.72,70.96,2.06M,-0.22%,2023
2023-09-22,71.82,71.64,72.35,71.43,2.47M,-0.19%,2023
2023-09-21,71.96,73.19,73.55,71.94,2.50M,-1.87%,2023
2023-09-20,73.33,73.79,74.52,73.28,2.54M,-0.26%,2023
2023-09-19,73.52,73.52,74.13,73.38,2.67M,0.01%,2023
2023-09-18,73.51,73.21,73.66,72.51,1.83M,0.56%,2023
2023-09-15,73.1,73.27,73.86,73.05,4.17M,-0.58%,2023
2023-09-14,73.53,72.42,73.59,72.29,2.01M,2.24%,2023
2023-09-13,71.92,71.63,72.39,71.51,1.75M,0.88%,2023
2023-09-12,71.29,71.2,71.65,70.9,1.94M,0.18%,2023
2023-09-11,71.16,71.38,71.82,71.02,1.37M,-0.13%,2023
2023-09-08,71.25,70.59,71.56,70.4,2.39M,1.12%,2023
2023-09-07,70.46,70.0,71.04,69.6,2.17M,1.22%,2023
2023-09-06,69.61,69.36,69.72,68.88,2.02M,0.59%,2023
2023-09-05,69.2,69.91,70.08,68.77,2.47M,-1.23%,2023
2023-09-01,70.06,70.73,70.91,69.51,1.80M,-0.23%,2023
2023-08-31,70.22,71.1,71.41,70.15,3.41M,-0.89%,2023
2023-08-30,70.85,71.51,71.82,70.57,1.94M,-1.20%,2023
2023-08-29,71.71,71.74,72.09,71.2,1.78M,0.21%,2023
2023-08-28,71.56,71.66,72.08,71.33,1.60M,0.00%,2023
2023-08-25,71.56,70.99,72.02,70.94,1.76M,1.10%,2023
2023-08-24,70.78,71.74,72.7,70.77,1.80M,-1.50%,2023
2023-08-23,71.86,71.79,71.97,70.64,2.21M,0.79%,2023
2023-08-22,71.3,71.24,71.53,70.51,2.52M,0.27%,2023
