Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,86.87,86.47,86.95,86.08,1.26M,0.60%,2023
2023-12-28,86.35,86.78,87.46,86.28,917.48K,-0.82%,2023
2023-12-27,87.06,87.3,88.03,86.63,695.47K,-0.56%,2023
2023-12-26,87.55,87.3,87.86,86.88,658.01K,0.97%,2023
2023-12-22,86.71,87.54,87.82,86.47,874.19K,-0.46%,2023
2023-12-21,87.11,86.18,87.16,85.61,1.03M,1.55%,2023
2023-12-20,85.78,86.23,87.18,85.65,1.15M,-0.57%,2023
2023-12-19,86.27,86.15,86.8,85.9,1.37M,0.34%,2023
2023-12-18,85.98,87.07,87.56,85.74,1.18M,0.67%,2023
2023-12-15,85.41,85.44,85.76,84.17,3.50M,-1.01%,2023
2023-12-14,86.28,85.8,87.1,85.57,1.53M,1.69%,2023
2023-12-13,84.85,84.58,85.19,83.31,1.51M,0.49%,2023
2023-12-12,84.44,84.84,84.86,83.26,1.56M,-1.42%,2023
2023-12-11,85.66,86.54,86.96,85.44,1.24M,-1.04%,2023
2023-12-08,86.56,85.19,86.73,85.09,1.20M,2.17%,2023
2023-12-07,84.72,85.85,85.98,83.95,1.61M,-1.06%,2023
2023-12-06,85.63,87.28,88.02,85.52,1.92M,-2.42%,2023
2023-12-05,87.75,89.03,89.21,87.39,1.44M,-1.75%,2023
2023-12-04,89.31,89.48,90.66,89.1,2.17M,-0.94%,2023
2023-12-01,90.16,90.16,91.43,90.0,1.29M,-0.32%,2023
2023-11-30,90.45,88.52,90.73,88.39,5.10M,2.77%,2023
2023-11-29,88.01,88.04,88.53,87.56,1.35M,0.58%,2023
2023-11-28,87.5,88.3,88.82,87.5,1.14M,-0.53%,2023
2023-11-27,87.97,87.63,88.36,87.19,1.21M,0.15%,2023
2023-11-24,87.84,87.55,88.43,86.8,617.08K,0.71%,2023
2023-11-22,87.22,86.08,87.28,85.28,1.44M,-0.39%,2023
2023-11-21,87.56,86.66,87.66,85.78,1.26M,0.78%,2023
2023-11-20,86.88,86.61,87.26,86.14,1.46M,1.00%,2023
2023-11-17,86.02,84.8,86.55,84.58,1.40M,2.59%,2023
2023-11-16,83.85,85.44,86.18,83.31,1.82M,-2.81%,2023
2023-11-15,86.27,86.37,87.85,86.25,3.31M,-0.19%,2023
2023-11-14,86.43,85.76,86.77,85.57,1.29M,1.79%,2023
2023-11-13,84.91,84.6,85.44,84.43,1.19M,0.41%,2023
2023-11-10,84.56,84.99,84.99,83.71,1.50M,1.04%,2023
2023-11-09,83.69,83.97,84.49,83.2,1.91M,0.37%,2023
2023-11-08,83.38,84.77,85.18,83.33,2.15M,-2.50%,2023
2023-11-07,85.52,86.2,86.92,84.74,2.28M,-2.31%,2023
2023-11-06,87.54,88.35,89.29,87.15,2.20M,-0.66%,2023
2023-11-03,88.12,90.11,90.64,87.6,3.44M,-2.36%,2023
2023-11-02,90.25,83.4,90.5,82.97,4.19M,7.25%,2023
2023-11-01,84.15,84.56,84.94,83.43,2.35M,0.65%,2023
2023-10-31,83.61,83.82,84.22,82.89,1.55M,0.01%,2023
2023-10-30,83.6,84.43,85.29,82.54,1.62M,-0.94%,2023
2023-10-27,84.39,85.59,85.79,83.81,1.05M,-1.54%,2023
2023-10-26,85.71,84.56,86.34,83.96,1.33M,0.42%,2023
2023-10-25,85.35,85.49,85.94,84.99,994.07K,-0.16%,2023
2023-10-24,85.49,86.92,86.94,84.99,2.11M,-1.05%,2023
2023-10-23,86.4,86.0,86.79,85.41,1.66M,-0.33%,2023
