Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,130.0,130.75,131.01,129.32,1.96M,-0.07%,2023
2023-12-28,130.09,131.0,132.0,129.96,1.66M,-1.31%,2023
2023-12-27,131.82,132.76,133.25,131.45,1.36M,-1.03%,2023
2023-12-26,133.19,132.95,134.32,132.39,1.81M,0.75%,2023
2023-12-22,132.2,133.1,134.24,132.09,2.28M,0.21%,2023
2023-12-21,131.92,132.65,133.3,130.27,2.98M,-0.47%,2023
2023-12-20,132.54,134.23,136.73,132.05,4.49M,-0.79%,2023
2023-12-19,133.6,131.93,134.13,130.74,3.74M,1.27%,2023
2023-12-18,131.92,130.52,132.8,130.1,3.62M,2.61%,2023
2023-12-15,128.57,126.83,128.92,126.79,9.64M,-0.47%,2023
2023-12-14,129.18,126.84,129.54,126.21,4.42M,3.51%,2023
2023-12-13,124.8,120.67,124.86,120.34,4.24M,3.23%,2023
2023-12-12,120.9,122.48,122.48,120.21,4.04M,-2.09%,2023
2023-12-11,123.48,122.62,124.27,121.78,3.29M,0.60%,2023
2023-12-08,122.74,123.31,124.19,122.1,2.18M,0.55%,2023
2023-12-07,122.07,123.42,124.71,121.75,3.28M,-0.54%,2023
2023-12-06,122.73,124.65,124.65,122.51,3.45M,-2.32%,2023
2023-12-05,125.65,126.51,128.9,125.51,3.13M,-0.64%,2023
2023-12-04,126.46,124.78,127.09,124.13,2.96M,0.06%,2023
2023-12-01,126.38,125.0,128.33,125.0,2.52M,0.81%,2023
2023-11-30,125.36,124.97,126.19,122.94,4.46M,1.03%,2023
2023-11-29,124.08,126.52,127.43,123.4,3.18M,-0.93%,2023
2023-11-28,125.24,125.78,127.11,125.08,2.05M,-0.29%,2023
2023-11-27,125.61,124.19,125.9,123.8,2.45M,0.52%,2023
2023-11-24,124.96,125.95,127.2,124.58,1.20M,-0.32%,2023
2023-11-22,125.36,121.21,125.78,120.55,2.63M,1.78%,2023
2023-11-21,123.17,123.88,124.15,122.32,2.37M,-1.25%,2023
2023-11-20,124.73,125.11,125.63,124.07,2.32M,0.50%,2023
2023-11-17,124.11,123.05,125.67,122.6,3.13M,1.80%,2023
2023-11-16,121.92,124.49,126.19,120.75,3.37M,-3.77%,2023
2023-11-15,126.7,125.82,128.89,125.51,3.24M,0.49%,2023
2023-11-14,126.08,124.91,127.06,124.7,2.85M,1.46%,2023
2023-11-13,124.27,122.72,124.52,122.19,2.83M,1.30%,2023
2023-11-10,122.67,121.33,122.86,120.8,2.97M,2.29%,2023
2023-11-09,119.92,122.36,123.47,119.88,2.55M,-1.37%,2023
2023-11-08,121.58,122.14,123.88,121.55,3.28M,-1.19%,2023
2023-11-07,123.05,124.06,124.24,122.26,2.64M,-2.20%,2023
2023-11-06,125.82,127.73,128.12,125.28,2.07M,-0.48%,2023
2023-11-03,126.43,128.81,129.21,124.83,3.30M,-1.96%,2023
2023-11-02,128.96,127.93,130.17,127.36,3.57M,0.96%,2023
2023-11-01,127.73,127.86,131.43,125.82,3.74M,0.57%,2023
2023-10-31,127.0,124.95,127.09,123.35,3.91M,2.22%,2023
2023-10-30,124.24,124.53,125.56,121.94,2.93M,0.55%,2023
2023-10-27,123.56,124.88,125.16,122.32,3.67M,-1.44%,2023
2023-10-26,125.36,126.0,126.75,121.18,3.99M,-1.18%,2023
2023-10-25,126.86,128.69,130.35,126.43,3.06M,-1.51%,2023
2023-10-24,128.8,131.4,132.6,128.72,2.91M,-1.48%,2023
2023-10-23,130.73,131.18,131.34,128.67,2.75M,-0.34%,2023
2023-10-20,131.18,132.57,133.58,130.86,3.08M,-0.94%,2023
2023-10-19,132.42,133.57,134.44,131.12,3.00M,-1.20%,2023
2023-10-18,134.03,130.53,135.31,130.48,3.78M,2.53%,2023
2023-10-17,130.72,128.94,131.27,128.94,2.28M,1.18%,2023
2023-10-16,129.2,127.35,129.96,126.43,2.85M,2.50%,2023
2023-10-13,126.05,127.0,128.0,125.65,3.83M,-0.14%,2023
2023-10-12,126.23,129.5,129.9,125.2,3.96M,-2.60%,2023
2023-10-11,129.6,128.99,130.61,128.46,3.01M,-0.47%,2023
2023-10-10,130.21,127.01,130.65,126.32,4.00M,2.57%,2023
2023-10-09,126.95,127.96,128.27,123.62,3.80M,0.33%,2023
2023-10-06,126.53,129.45,129.96,125.68,2.83M,-0.75%,2023
2023-10-05,127.48,127.47,129.57,126.25,3.40M,-0.92%,2023
2023-10-04,128.67,131.27,131.27,127.04,4.10M,-3.68%,2023
2023-10-03,133.58,137.01,137.01,130.76,5.76M,-3.27%,2023
2023-10-02,138.09,141.71,142.2,137.08,4.11M,-2.55%,2023
2023-09-29,141.71,147.15,147.3,141.09,4.30M,-3.72%,2023
2023-09-28,147.18,143.53,148.28,143.53,3.59M,2.24%,2023
2023-09-27,143.95,142.75,144.92,142.15,3.64M,1.67%,2023
2023-09-26,141.58,145.02,145.19,140.79,4.94M,-3.38%,2023
2023-09-25,146.54,145.27,147.65,145.0,3.24M,0.87%,2023
2023-09-22,145.27,147.57,149.68,145.09,4.11M,-0.70%,2023
2023-09-21,146.3,148.59,152.2,144.87,6.81M,2.33%,2023
2023-09-20,142.97,142.5,145.51,142.28,3.72M,0.22%,2023
2023-09-19,142.66,147.68,147.8,141.88,4.57M,-2.47%,2023
2023-09-18,146.28,145.42,148.42,144.8,4.42M,1.81%,2023
2023-09-15,143.68,144.73,145.31,143.08,8.07M,-1.56%,2023
2023-09-14,145.95,147.0,147.6,145.22,3.74M,0.32%,2023
2023-09-13,145.48,146.54,146.69,143.57,3.19M,-0.53%,2023
2023-09-12,146.26,143.97,147.31,143.18,4.27M,1.75%,2023
2023-09-11,143.74,143.0,145.44,141.24,5.55M,1.18%,2023
2023-09-08,142.06,138.28,143.15,137.47,5.15M,4.26%,2023
2023-09-07,136.25,134.24,137.07,134.01,3.69M,1.66%,2023
2023-09-06,134.03,132.97,135.02,131.82,3.16M,0.68%,2023
2023-09-05,133.12,134.4,135.15,132.49,3.00M,-0.34%,2023
2023-09-01,133.58,132.0,134.6,131.79,3.00M,2.83%,2023
2023-08-31,129.9,131.82,132.1,128.38,4.15M,-1.18%,2023
2023-08-30,131.45,131.77,131.89,129.76,3.17M,0.05%,2023
2023-08-29,131.39,131.83,132.24,129.33,3.04M,-0.16%,2023
2023-08-28,131.6,133.15,133.15,130.51,2.68M,-1.14%,2023
2023-08-25,133.12,130.55,135.78,129.08,5.17M,2.83%,2023
2023-08-24,129.46,128.72,130.27,127.69,2.76M,0.07%,2023
2023-08-23,129.37,129.5,130.31,126.13,4.03M,-1.16%,2023
2023-08-22,130.89,131.4,132.32,130.56,2.56M,-0.21%,2023
2023-08-21,131.16,134.08,134.55,129.34,3.73M,-1.81%,2023
