Date,Price,Open,High,Low,Vol.,Change %,Year
2023-12-29,38.52,38.76,38.9,38.34,2.31M,-0.77,2023
2023-12-28,38.82,38.22,38.84,38.22,2.04M,1.15,2023
2023-12-27,38.38,38.15,38.6,38.1,1.98M,0.47,2023
2023-12-26,38.2,37.96,38.42,37.88,1.45M,0.47,2023
2023-12-22,38.02,37.9,38.16,37.79,1.61M,0.61,2023
2023-12-21,37.79,37.77,37.99,37.58,2.08M,0.48,2023
2023-12-20,37.61,37.53,38.11,37.48,3.12M,-0.29,2023
2023-12-19,37.72,37.71,37.98,37.38,3.45M,-0.11,2023
2023-12-18,37.76,37.68,38.06,37.46,4.45M,0.21,2023
2023-12-15,37.68,37.5,37.91,37.39,15.00M,0.51,2023
2023-12-14,37.49,38.32,38.34,37.39,3.70M,-1.65,2023
2023-12-13,38.12,37.39,38.19,37.31,4.13M,2.12,2023
2023-12-12,37.33,36.86,37.6,36.81,4.33M,1.22,2023
2023-12-11,36.88,37.0,37.06,36.47,3.21M,-0.22,2023
2023-12-08,36.96,37.1,37.2,36.44,3.61M,-0.56,2023
2023-12-07,37.17,36.25,37.2,36.17,3.41M,2.45,2023
2023-12-06,36.28,37.41,37.72,36.22,4.38M,-2.92,2023
2023-12-05,37.37,37.13,37.41,36.72,4.14M,0.67,2023
2023-12-04,37.12,36.04,37.16,35.99,5.75M,2.32,2023
2023-12-01,36.28,35.41,36.28,35.41,4.20M,2.46,2023
2023-11-30,35.41,34.96,35.53,34.89,6.26M,1.4,2023
2023-11-29,34.92,35.51,35.84,34.88,4.31M,-0.85,2023
2023-11-28,35.22,35.54,35.64,35.15,2.59M,-1.18,2023
2023-11-27,35.64,34.89,35.69,34.7,3.56M,2.24,2023
2023-11-24,34.86,34.63,35.03,34.61,1.19M,0.14,2023
2023-11-22,34.81,34.55,34.82,34.25,2.98M,0.93,2023
2023-11-21,34.49,34.7,34.93,34.47,5.00M,-0.58,2023
2023-11-20,34.69,34.86,35.07,34.66,3.88M,-0.49,2023
2023-11-17,34.86,34.65,34.97,34.64,2.90M,0.35,2023
2023-11-16,34.74,35.0,35.31,34.31,4.83M,0.12,2023
2023-11-15,34.7,35.07,35.3,34.65,4.10M,-1.48,2023
2023-11-14,35.22,34.9,35.3,34.85,4.17M,2.38,2023
2023-11-13,34.4,34.48,34.64,34.24,2.69M,-0.23,2023
2023-11-10,34.48,34.86,35.11,34.42,2.72M,-0.23,2023
2023-11-09,34.56,34.66,35.04,34.52,2.87M,-0.32,2023
2023-11-08,34.67,35.09,35.54,34.6,4.59M,-0.23,2023
